study_id,site_id,core_id,year,month,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R1,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R2,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R3,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R4,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R5,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R1,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R2,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R3,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R4,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R5,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R1,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R2,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R3,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R4,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R5,2022,5,-32.7716,18.142872,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R1,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R2,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R3,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R4,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R5,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R1,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R2,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R3,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R4,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R5,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R1,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R2,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R3,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R4,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R5,2022,5,-32.818246,18.195986,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R1,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R2,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R3,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R4,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R5,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R1,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R2,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R3,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R4,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R5,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R1,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R2,2022,5,-34.389554,20.750209,other moderate resolution,estuarine,field observation,seagrass,field observation,seagrass,low,field observation
