study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R1,single set of methods,0,3,LWR_SS1_R1_0_3cm,1.03015265085433,0.004
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R1,single set of methods,3,6,LWR_SS1_R1_3_6cm,1.09917921070623,0.0025
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R1,single set of methods,6,10,LWR_SS1_R1_6_10cm,0.881412807238364,0.0097
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R1,single set of methods,10,15,LWR_SS1_R1_10_15cm,1.10935833645321,0.0045
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R2,single set of methods,0,3,LWR_SS1_R2_0_3cm,0.814380989339873,0.0034
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R2,single set of methods,3,6,LWR_SS1_R2_3_6cm,1.32571399050551,0.0069
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R2,single set of methods,6,10,LWR_SS1_R2_6_10cm,1.20437001776044,0.003
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R2,single set of methods,10,15,LWR_SS1_R2_10_15cm,1.24107242087697,0.0034
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R3,single set of methods,0,3,LWR_SS1_R3_0_3_cm,1.17825587469792,0.0012
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R3,single set of methods,3,6,LWR_SS1_R3_3_6cm,1.39280522624943,0.0016
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R3,single set of methods,6,10,LWR_SS1_R3_6_10cm,1.26842669925606,0.0044
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R3,single set of methods,10,15,LWR_SS1_R3_10_15cm,1.23127356934069,0.0017
