"study_id","site_id","core_id","year","month","latitude","longitude","position_method","salinity_class","salinity_method","vegetation_class","vegetation_method","habitat","inundation_class","inundation_method"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R1_2023",2023,11,-33.110076,18.038047,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R2_2023",2023,11,-33.110076,18.038047,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R3_2023",2023,11,-33.110076,18.038047,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R4_2023",2023,11,-33.110076,18.038047,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R5_2023",2023,11,-33.110076,18.038047,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R1_2023",2023,11,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R2_2023",2023,11,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R3_2023",2023,11,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R4_2023",2023,11,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R5_2023",2023,11,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R1_2023",2023,11,-33.141889,18.088021,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R2_2023",2023,11,-33.141889,18.088021,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R3_2023",2023,11,-33.141889,18.088021,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R4_2023",2023,11,-33.141889,18.088021,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R5_2023",2023,11,-33.141889,18.088021,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R1_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R2_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R3_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R4_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R5_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R6_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R7_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R8_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R9_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R10_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R11_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R12_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R13_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R14_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R15_2023",2023,11,-33.123041,18.044676,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R1_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R2_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R3_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R4_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R5_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R6_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R7_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
