"study_id","site_id","core_id","species_code","code_type","habitat"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R1_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R2_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R3_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R4_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S1_R5_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R1_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R2_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R3_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R4_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R5_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R1_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R2_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R3_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R4_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S3_R5_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R1_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R2_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R3_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R4_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R5_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R6_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R7_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R8_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R9_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R10_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R11_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R12_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R13_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R14_2023","Zostera capensis","Genus species","seagrass"
"Bossert_et_al_2025_Langebaan","Langebaan","S4_R15_2023","Zostera capensis","Genus species","seagrass"
