study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Bossert_et_al_2025_Langebaan,Langebaan,S1_R1_2023,single set of methods,0,5,S1_R1_0_5cm,0.55044,0.0014
Bossert_et_al_2025_Langebaan,Langebaan,S1_R1_2023,single set of methods,5,10,S1_R1_5_10cm,1.00656,0.0015
Bossert_et_al_2025_Langebaan,Langebaan,S1_R1_2023,single set of methods,10,20,S1_R1_10_20cm,1.47646,0.0013
Bossert_et_al_2025_Langebaan,Langebaan,S1_R1_2023,single set of methods,20,30,S1_R1_20_30cm,1.54812,0.0013
Bossert_et_al_2025_Langebaan,Langebaan,S1_R1_2023,single set of methods,30,50,S1_R1_30_50cm,1.51206,0.0011
Bossert_et_al_2025_Langebaan,Langebaan,S1_R2_2023,single set of methods,0,5,S1_R2_0_5cm,0.90222,0.0015
Bossert_et_al_2025_Langebaan,Langebaan,S1_R2_2023,single set of methods,5,10,S1_R2_5_10cm,0.9139,0.001
Bossert_et_al_2025_Langebaan,Langebaan,S1_R2_2023,single set of methods,10,20,S1_R2_10_20cm,1.53638,0.0013
Bossert_et_al_2025_Langebaan,Langebaan,S1_R2_2023,single set of methods,20,30,S1_R2_20_30cm,1.47192,0.0014
Bossert_et_al_2025_Langebaan,Langebaan,S1_R2_2023,single set of methods,30,50,S1_R2_30_50cm,1.42002,0.0011
Bossert_et_al_2025_Langebaan,Langebaan,S1_R3_2023,single set of methods,0,5,S1_R3_0_5cm,0.66928,9e-4
Bossert_et_al_2025_Langebaan,Langebaan,S1_R3_2023,single set of methods,5,10,S1_R3_5_10cm,0.952,0.0014
Bossert_et_al_2025_Langebaan,Langebaan,S1_R3_2023,single set of methods,10,20,S1_R3_10_20cm,1.56278,0.0011
Bossert_et_al_2025_Langebaan,Langebaan,S1_R3_2023,single set of methods,20,30,S1_R3_20_30cm,1.48742,0.0012
Bossert_et_al_2025_Langebaan,Langebaan,S1_R3_2023,single set of methods,30,50,S1_R3_30_50cm,1.46918,0.0013
Bossert_et_al_2025_Langebaan,Langebaan,S1_R4_2023,single set of methods,0,5,S1_R4_0_5cm,0.80486,0.001
Bossert_et_al_2025_Langebaan,Langebaan,S1_R4_2023,single set of methods,5,10,S1_R4_5_10cm,0.73046,0.001
Bossert_et_al_2025_Langebaan,Langebaan,S1_R4_2023,single set of methods,10,20,S1_R4_10_20cm,1.58824,0.0012
Bossert_et_al_2025_Langebaan,Langebaan,S1_R4_2023,single set of methods,20,30,S1_R4_20_30cm,1.66084,9e-4
Bossert_et_al_2025_Langebaan,Langebaan,S1_R4_2023,single set of methods,30,50,S1_R4_30_50cm,1.62616,0.0011
Bossert_et_al_2025_Langebaan,Langebaan,S1_R5_2023,single set of methods,0,5,S1_R5_0_5cm,0.765,0.0013
Bossert_et_al_2025_Langebaan,Langebaan,S1_R5_2023,single set of methods,5,10,S1_R5_5_10cm,0.9039,0.0012
Bossert_et_al_2025_Langebaan,Langebaan,S1_R5_2023,single set of methods,10,20,S1_R5_10_20cm,1.60068,0.0012
Bossert_et_al_2025_Langebaan,Langebaan,S1_R5_2023,single set of methods,20,30,S1_R5_20_30cm,1.6589,0.0012
Bossert_et_al_2025_Langebaan,Langebaan,S1_R5_2023,single set of methods,30,50,S1_R5_30_50cm,1.75426,0.0012
Bossert_et_al_2025_Langebaan,Langebaan,S2_R1_2023,single set of methods,0,5,S2_R1_0_5cm,0.15,0.00845
Bossert_et_al_2025_Langebaan,Langebaan,S2_R1_2023,single set of methods,5,10,S2_R1_5_10cm,0.14,0.01061
Bossert_et_al_2025_Langebaan,Langebaan,S2_R1_2023,single set of methods,10,20,S2_R1_10_20cm,0.1,0.01432
Bossert_et_al_2025_Langebaan,Langebaan,S2_R1_2023,single set of methods,20,30,S2_R1_20_30cm,0.07,0.01348
Bossert_et_al_2025_Langebaan,Langebaan,S2_R1_2023,single set of methods,30,50,S2_R1_30_50cm,0.07,0.01521
Bossert_et_al_2025_Langebaan,Langebaan,S2_R2_2023,single set of methods,0,5,S2_R2_0_5cm,0.19,0.00703
Bossert_et_al_2025_Langebaan,Langebaan,S2_R2_2023,single set of methods,5,10,S2_R2_5_10cm,0.24,0.00758
Bossert_et_al_2025_Langebaan,Langebaan,S2_R2_2023,single set of methods,10,20,S2_R2_10_20cm,0.16,0.01165
Bossert_et_al_2025_Langebaan,Langebaan,S2_R2_2023,single set of methods,20,30,S2_R2_20_30cm,0.14,0.01273
Bossert_et_al_2025_Langebaan,Langebaan,S2_R2_2023,single set of methods,30,50,S2_R2_30_50cm,0.11,0.01371
Bossert_et_al_2025_Langebaan,Langebaan,S2_R3_2023,single set of methods,0,5,S2_R3_0_5cm,0.07,0.0085
Bossert_et_al_2025_Langebaan,Langebaan,S2_R3_2023,single set of methods,5,10,S2_R3_5_10cm,0.07,0.01179
Bossert_et_al_2025_Langebaan,Langebaan,S2_R3_2023,single set of methods,10,20,S2_R3_10_20cm,0.06,0.01385
Bossert_et_al_2025_Langebaan,Langebaan,S2_R3_2023,single set of methods,20,30,S2_R3_20_30cm,0.14,0.01456
Bossert_et_al_2025_Langebaan,Langebaan,S2_R3_2023,single set of methods,30,50,S2_R3_30_50cm,0.06,0.01646
Bossert_et_al_2025_Langebaan,Langebaan,S2_R4_2023,single set of methods,0,5,S2_R4_0_5cm,0.06,0.01047
Bossert_et_al_2025_Langebaan,Langebaan,S2_R4_2023,single set of methods,5,10,S2_R4_5_10cm,0.09,0.01584
Bossert_et_al_2025_Langebaan,Langebaan,S2_R4_2023,single set of methods,10,20,S2_R4_10_20cm,0.1,0.01489
Bossert_et_al_2025_Langebaan,Langebaan,S2_R4_2023,single set of methods,20,30,S2_R4_20_30cm,0.11,0.01563
Bossert_et_al_2025_Langebaan,Langebaan,S2_R4_2023,single set of methods,30,50,S2_R4_30_50cm,0.13,0.01503
Bossert_et_al_2025_Langebaan,Langebaan,S2_R5_2023,single set of methods,0,5,S2_R5_0_5cm,0.11,0.00857
Bossert_et_al_2025_Langebaan,Langebaan,S2_R5_2023,single set of methods,5,10,S2_R5_5_10cm,0.11,0.00903
Bossert_et_al_2025_Langebaan,Langebaan,S2_R5_2023,single set of methods,10,20,S2_R5_10_20cm,0.1,0.01178
Bossert_et_al_2025_Langebaan,Langebaan,S2_R5_2023,single set of methods,20,30,S2_R5_20_30cm,0.07,0.01275
Bossert_et_al_2025_Langebaan,Langebaan,S2_R5_2023,single set of methods,30,50,S2_R5_30_50cm,0.08,0.01359
Bossert_et_al_2025_Langebaan,Langebaan,S3_R1_2023,single set of methods,0,5,S3_R1_0_5cm,0.12,0.00361
Bossert_et_al_2025_Langebaan,Langebaan,S3_R1_2023,single set of methods,5,10,S3_R1_5_10cm,0.08,0.00632
Bossert_et_al_2025_Langebaan,Langebaan,S3_R1_2023,single set of methods,10,20,S3_R1_10_20cm,0.1,0.01221
Bossert_et_al_2025_Langebaan,Langebaan,S3_R1_2023,single set of methods,20,30,S3_R1_20_30cm,0.05,0.01404
Bossert_et_al_2025_Langebaan,Langebaan,S3_R1_2023,single set of methods,30,50,S3_R1_30_50cm,0.05,0.01333
Bossert_et_al_2025_Langebaan,Langebaan,S3_R2_2023,single set of methods,0,5,S3_R2_0_5cm,0.11,0.00457
Bossert_et_al_2025_Langebaan,Langebaan,S3_R2_2023,single set of methods,5,10,S3_R2_5_10cm,0.11,0.00655
Bossert_et_al_2025_Langebaan,Langebaan,S3_R2_2023,single set of methods,10,20,S3_R2_10_20cm,0.11,0.01109
Bossert_et_al_2025_Langebaan,Langebaan,S3_R2_2023,single set of methods,20,30,S3_R2_20_30cm,0.07,0.01057
Bossert_et_al_2025_Langebaan,Langebaan,S3_R2_2023,single set of methods,30,50,S3_R2_30_50cm,0.09,0.01431
Bossert_et_al_2025_Langebaan,Langebaan,S3_R3_2023,single set of methods,0,5,S3_R3_0_5cm,0.08,0.00447
