"study_id","site_id","core_id","year","month","latitude","longitude","position_method","salinity_class","salinity_method","vegetation_class","vegetation_method","habitat","inundation_class","inundation_method"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D5_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D3_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D1_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D0.5_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D5_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D3_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D1_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D0.5_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D5_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D3_1",2023,5,-31.394527,18.11424,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","high","field observation"
