"study_id","site_id","core_id","species_code","code_type","habitat"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D3_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D1_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D0.5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T3-D5_1","Zostera capensis","Genus species","seagrass"
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T3-D3_1","Zostera capensis","Genus species","seagrass"
