"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D5_1","single set of methods",0,5,"UPR_SM_T1_D5_0_5",0.49315,0.0582
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D5_1","single set of methods",5,10,"UPR_SM_T1_D5_5_10",1.1944500000000002,0.0078000000000000005
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D5_1","single set of methods",10,20,"UPR_SM_T1_D5_10_20",1.1147599999999998,0.01
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D5_1","single set of methods",20,50,"UPR_SM_T1_D5_20_50",1.01558,0.009300000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D3_1","single set of methods",0,5,"UPR_SM_T1_D3_0_5",0.48440000000000005,0.0483
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D3_1","single set of methods",5,10,"UPR_SM_T1_D3_5_10",0.8534000000000003,0.020099999999999996
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D3_1","single set of methods",10,20,"UPR_SM_T1_D3_10_20",0.97296,0.0152
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D3_1","single set of methods",20,50,"UPR_SM_T1_D3_20_50",1.1164600000000002,0.0109
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D1_1","single set of methods",0,5,"UPR_SM_T1_D1_0_5",0.5491499999999998,0.0382
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D1_1","single set of methods",5,10,"UPR_SM_T1_D_5_10",0.9143,0.015
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D1_1","single set of methods",10,20,"UPR_SM_T1_D1_10_20",0.91402,0.009000000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D1_1","single set of methods",20,50,"UPR_SM_T1_D1_20_50",1.1832,0.0063
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0.5_1","single set of methods",0,5,"UPR_SM_T1_D0.5_0_5",0.5919000000000001,0.033
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0.5_1","single set of methods",5,10,"UPR_SM_T1_D0.5_5_10",0.6744,0.0281
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0.5_1","single set of methods",10,20,"UPR_SM_T1_D0.5_10_20",0.8023800000000001,0.0209
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0.5_1","single set of methods",20,50,"UPR_SM_T1_D0.5_20_50",1.08208,0.0076
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0_1","single set of methods",0,5,"UPR_SM_T1_D0_0_5",0.6812000000000001,0.0197
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0_1","single set of methods",5,10,"UPR_SM_T1_D0_5_10",0.6664000000000001,0.0232
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0_1","single set of methods",10,20,"UPR_SM_T1_D0_10_20",0.9034,0.0124
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T1_D0_1","single set of methods",20,50,"UPR_SM_T1_D0_20_50",1.02076,0.008
