study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,percent_organic_carbon
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D5_1,single set of methods,0,5,UPR_SM_T1_D5_0_5,0.49315,5.82
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D5_1,single set of methods,5,10,UPR_SM_T1_D5_5_10,1.1944500000000002,0.78
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D5_1,single set of methods,10,20,UPR_SM_T1_D5_10_20,1.1147599999999998,1
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D5_1,single set of methods,20,50,UPR_SM_T1_D5_20_50,1.0155800000000001,0.93
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D3_1,single set of methods,0,5,UPR_SM_T1_D3_0_5,0.48440000000000005,4.83
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D3_1,single set of methods,5,10,UPR_SM_T1_D3_5_10,0.8534000000000003,2.01
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D3_1,single set of methods,10,20,UPR_SM_T1_D3_10_20,0.9729599999999999,1.52
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D3_1,single set of methods,20,50,UPR_SM_T1_D3_20_50,1.1164600000000002,1.09
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D1_1,single set of methods,0,5,UPR_SM_T1_D1_0_5,0.5491499999999998,3.82
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D1_1,single set of methods,5,10,UPR_SM_T1_D_5_10,0.9143000000000001,1.5
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D1_1,single set of methods,10,20,UPR_SM_T1_D1_10_20,0.91402,0.9
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D1_1,single set of methods,20,50,UPR_SM_T1_D1_20_50,1.1832,0.63
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0.5_1,single set of methods,0,5,UPR_SM_T1_D0.5_0_5,0.5919000000000001,3.3
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0.5_1,single set of methods,5,10,UPR_SM_T1_D0.5_5_10,0.6744,2.81
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0.5_1,single set of methods,10,20,UPR_SM_T1_D0.5_10_20,0.8023800000000001,2.09
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0.5_1,single set of methods,20,50,UPR_SM_T1_D0.5_20_50,1.08208,0.76
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0_1,single set of methods,0,5,UPR_SM_T1_D0_0_5,0.6812000000000001,1.97
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0_1,single set of methods,5,10,UPR_SM_T1_D0_5_10,0.6664000000000001,2.32
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0_1,single set of methods,10,20,UPR_SM_T1_D0_10_20,0.9033999999999999,1.24
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T1_D0_1,single set of methods,20,50,UPR_SM_T1_D0_20_50,1.0207600000000001,0.8
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D5_1,single set of methods,0,5,UPR_SM_T2_D5_0_5,0.5053999999999998,5.22
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D5_1,single set of methods,5,10,UPR_SM_T2_D5_5_10,0.8013499999999997,2.34
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D5_1,single set of methods,10,20,UPR_SM_T2_D5_10_20,1.0093199999999998,1.06
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D5_1,single set of methods,20,50,UPR_SM_T2_D5_20_50,1.12242,0.64
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D3_1,single set of methods,0,5,UPR_SM_T2_D3_0_5,0.4663157894736842,8.79
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D3_1,single set of methods,5,10,UPR_SM_T2_D3_5_10,0.9482000000000003,2.12
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D3_1,single set of methods,10,20,UPR_SM_T2_D3_10_20,0.88086,1.58
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D3_1,single set of methods,20,50,UPR_SM_T2_D3_20_50,1.0507,0.92
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D1_1,single set of methods,0,5,UPR_SM_T2_D1_0_5,0.5340999999999998,3.89
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D1_1,single set of methods,5,10,UPR_SM_T2_D1_5_10,0.6349499999999999,2.58
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D1_1,single set of methods,10,20,UPR_SM_T2_D1_10_20,0.9151199999999998,1.26
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D1_1,single set of methods,20,50,UPR_SM_T2_D1_20_50,1.0987600000000002,0.76
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0.5_1,single set of methods,0,5,UPR_SM_T2_D0.5_0_5,0.6435500000000001,3.24
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0.5_1,single set of methods,5,10,UPR_SM_T2_D0.5_5_10,0.6350000000000001,2.52
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0.5_1,single set of methods,10,20,UPR_SM_T2_D0.5_10_20,0.7711999999999999,1.41
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0.5_1,single set of methods,20,50,UPR_SM_T2_D0.5_20_50,1.11926,0.58
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,0,5,UPR_SM_T2_D0_0_5,0.5980000000000001,2.36
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,5,10,UPR_SM_T2_D0_5_10,0.6666000000000001,1.82
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,10,20,UPR_SM_T2_D0_10_20,0.8263799999999999,1.25
