"study_id","site_id","core_id","year","month","day","core_notes","latitude","longitude","position_method","vegetation_class","vegetation_method","habitat"
"Krause_et_al_2025","PD","PD12",2024,5,8,"sediment deposit depth measured: 200",11.34269,103.10415,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD19",2024,5,8,"sediment deposit depth measured: 200",11.31125,103.108333,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD20",2024,5,7,"sediment deposit depth measured: 200",11.306722,103.111361,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD22",2024,5,7,"sediment deposit depth measured: 200",11.302444,103.097639,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD23",2024,5,10,"sediment deposit depth measured: 200",11.369278,103.033639,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD24",2024,5,10,"sediment deposit depth measured: 200",11.361194,103.031083,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD25",2024,5,10,"sediment deposit depth measured: 200",11.354889,103.029389,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD3",2024,5,8,"sediment deposit depth measured: 200",11.407667,103.061444,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD6",2024,5,8,"sediment deposit depth measured: 200",11.394861,103.064944,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PD","PD8",2024,5,10,"sediment deposit depth measured: 200",11.398194,103.078639,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS1",2024,5,11,"sediment deposit depth measured: 200",11.426333,103.052306,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS10",2024,5,9,"sediment deposit depth measured: 200",11.369778,103.088611,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS11",2024,5,8,"sediment deposit depth measured: 200",11.349972,103.095417,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS13",2024,5,8,"sediment deposit depth measured: 200",11.344861,103.115917,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS14",2024,5,8,"sediment deposit depth measured: 200",11.338972,103.11725,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS15",2024,5,8,"sediment deposit depth measured: 200",11.34625,103.1275,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS16",2024,5,7,"sediment deposit depth measured: 200",11.336778,103.12925,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS17",2024,5,8,"sediment deposit depth measured: 200",11.329639,103.126528,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS18",2024,5,7,"sediment deposit depth measured: 150",11.332139,103.137472,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS2",2024,5,11,"sediment deposit depth measured: 200",11.418583,103.056861,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS21",2024,5,7,"sediment deposit depth measured: 200",11.304333,103.104972,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS4",2024,5,11,"sediment deposit depth measured: 200",11.402194,103.054806,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS5",2024,5,10,"sediment deposit depth measured: 200",11.405389,103.070139,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS7",2024,5,9,"sediment deposit depth measured: 170",11.411861,103.083528,"handheld","seagrass","measurement","seagrass"
"Krause_et_al_2025","PS","PS9",2024,5,9,"sediment deposit depth measured: 200",11.384528,103.087028,"handheld","seagrass","measurement","seagrass"
