"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","delta_c13","depth_interval_notes"
"Krause_et_al_2025","PD","PD12","single set of methods",0,4.3,0.5003,0.08512,0.02683,-26.2,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",4.3,7,0.4897,0.09684,NA,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",7,9.8,0.554222222222222,0.09721,0.0268,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",9.8,13.8,0.7088,0.06964,0.01844,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",13.8,19.3,0.7575,0.06084,0.01656,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",19.3,24.9,0.9126,0.04083,0.01352,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",24.9,32.9,0.9568,0.04062,NA,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",32.9,44,0.997857142857143,0.03948,0.0101,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",44,60.7,1.0173,0.03357,0.00816,-25.05,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",60.7,79.7,1.23611111111111,0.02116,0.0069,NA,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD12","single set of methods",79.7,100,1.26244444444444,0.02566,0.00794,-25.255,"2.5cm stopper to sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",0,4.7,0.98225,0.01872,0.00572,-23.32,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",4.7,7.4,1.16962962962963,0.01768,0.00643,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",7.4,10.2,1.06066666666667,0.02098,0.00803,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",10.2,14.3,1.10925,0.02024,0.00751,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",14.3,19.8,0.9905,0.03326,NA,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",19.8,28,1.130125,0.02577,0.00738,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",28,38.9,0.989777777777778,0.031,0.00979,-25.7,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",38.9,55.3,0.691571428571429,0.07199,0.02251,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",55.3,77.1,0.577111111111111,0.05835,0.01774,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",77.1,94.9,0.5805,0.06299,0.01431,NA,"Stopper at sed surface"
"Krause_et_al_2025","PD","PD19","single set of methods",94.9,105,0.725555555555555,0.05181,0.02108,-22.84,"Stopper at sed surface"
