"study_id","site_id","core_id","species_code","code_type"
"Krause_et_al_2025","PD","PD12","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD19","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD20","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD22","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD23","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD24","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD25","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD3","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD6","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PD","PD8","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS1","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS10","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS11","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS13","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS14","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS15","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS16","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS17","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS18","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS2","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS21","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS4","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS5","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS7","Halodule pinifolia","Genus species"
"Krause_et_al_2025","PS","PS9","Halodule pinifolia","Genus species"
