"study_id","site_id","biomass_core_id","Species","Shoot_count","ABG_Tare_weight","ABG_Tare_and_Sample_dry_weight","ABG_biomass","BLG_Tare_weight","BLG_Tare_and_Sample_dry_weight","BLG_biomass","Shoots_m2","ABG_biomass_DW_m2","BLG_biomass_DW_m2","core_notes"
"Krause_et_al_2025_Cambodia","PD12","PD12-3","Halodule pinifolia","86","3.068","4.145","1.077","2.873","5.237","2.364","4866.6039454789","60.9457261544276","133.775020082699",NA
"Krause_et_al_2025_Cambodia","PD12","PD12-1","Halodule pinifolia","102","2.667","4.005","1.338","3.028","6.06","3.032","5772.01863300986","75.7153032447764","171.576083287116",NA
"Krause_et_al_2025_Cambodia","PD12","PD12-2","Halodule pinifolia","91","3.116","6.009","2.893","3.166","6.24","3.074","5149.54603533232","163.710293189191","173.952796841885",NA
"Krause_et_al_2025_Cambodia","PD19","PD19-A2","Halodule pinifolia","33","2.945","3.595","0.65","3.181","3.371","0.19","1867.4177930326","36.7824716809452","10.7517994144301",NA
"Krause_et_al_2025_Cambodia","PD19","PD19-A1","Halodule pinifolia","97","3.07","3.427","0.357","3.142","4.713","1.571","5489.07654315643","20.2020652155345","88.9004046319459",NA
"Krause_et_al_2025_Cambodia","PD19","PD19-A3","Halodule pinifolia","110","2.755","3.153","0.398","2.733","5.118","2.385","6224.72597677533","22.5221903523326","134.963376860083",NA
"Krause_et_al_2025_Cambodia","PD20","PD20-A2","Halodule pinifolia","150","2.858","3.43","0.572","2.984","5.824","2.84","8488.26269560273","32.3685750792317","160.711107036745",NA
"Krause_et_al_2025_Cambodia","PD20","PD20-A3","Halodule pinifolia","154","3.484","4.163","0.679","2.845","6.682","3.837","8714.61636748547","38.423535802095","217.129759753518",NA
"Krause_et_al_2025_Cambodia","PD20","PD20-A1","Halodule pinifolia","172","3.068","3.886","0.818","3.334","7.553","4.219","9733.2078909578","46.2893259000202","238.746535418319",NA
"Krause_et_al_2025_Cambodia","PD22","PD22-A","Halodule pinifolia","21","3.133","3.188","0.0550000000000002","3.173","3.332","0.159","1188.35677738438","3.11236298838768","8.99755845733888","Possibly incomplete shoot count"
"Krause_et_al_2025_Cambodia","PD22","PD22-B","Halodule pinifolia","64","3.071","3.555","0.484","2.895","5.372","2.477","3621.65875012383","27.3887942978115","140.169511313386",NA
"Krause_et_al_2025_Cambodia","PD22","PD22-C","Halodule pinifolia","99","2.997","3.68","0.683","2.815","6.12","3.305","5602.2533790978","38.6498894739778","187.024721393113",NA
"Krause_et_al_2025_Cambodia","PD23","PD23-A3","Halodule pinifolia","55","2.052","2.564","0.512","2.351","3.828","1.477","3112.36298838767","28.9732700009907","83.5810933427015",NA
"Krause_et_al_2025_Cambodia","PD23","PD23-A1","Halodule pinifolia",NA,"1.006","1.598","0.592","1.623","3.499","1.876","0","33.5003434386454","106.159872113005","No shoot count data"
"Krause_et_al_2025_Cambodia","PD23","PD23-A2","Halodule pinifolia","73","1.113","1.525","0.412","1.731","3.945","2.214","4130.95451186","23.3144282039222","125.286757387096",NA
"Krause_et_al_2025_Cambodia","PD24","PD24-A3","Halodule pinifolia","156","2.065","3.132","1.067","2.283","9.175","6.892","8827.79320342684","60.3798419747208","390.00737665396",NA
"Krause_et_al_2025_Cambodia","PD24","PD24-A2","Halodule pinifolia","148","3.665","4.644","0.979","3.803","10.875","7.072","8375.08585966136","55.4000611933005","400.193291888683",NA
"Krause_et_al_2025_Cambodia","PD24","PD24-A1","Halodule pinifolia","185","5.411","6.794","1.383","4.271","12.331","8.06","10468.8573245767","78.2617820534572","456.10264884372",NA
"Krause_et_al_2025_Cambodia","PD25","PD25-A3","Halodule pinifolia","53","2.209","2.517","0.308","2.493","3.581","1.088","2999.1861524463","17.4292327349709","61.5681987521051",NA
"Krause_et_al_2025_Cambodia","PD25","PD25-A2","Halodule pinifolia","37","1.134","1.364","1.51","1.429","2.644","1.215","2093.77146491534","85.4485111357342","68.7549278343821","Possibly incomplete shoot count"
"Krause_et_al_2025_Cambodia","PD25","PD25-A1","Halodule pinifolia","49","1.249","1.709","0.46","1.734","3.179","1.445","2772.83248056356","26.030672266515","81.7702639676396",NA
"Krause_et_al_2025_Cambodia","PD3","PD3-A2","Halodule pinifolia","222","2.37","2.941","0.571","2.995","6.663","3.668","12562.628789492","32.311986661261","207.566317116472",NA
"Krause_et_al_2025_Cambodia","PD3","PD3-A3","Halodule pinifolia","214","2.607","3.045","0.438","2.769","6.875","4.106","12109.9214457266","24.78572707116","232.352044187632",NA
"Krause_et_al_2025_Cambodia","PD3","PD3-A1","Halodule pinifolia","277","2.679","3.201","0.522","2.682","7.941","5.259","15674.9917778797","29.5391541806975","297.598490107832",NA
