"study_id","site_id","site_number","site_latitude","site_longitude","Depth","Shoot_density","SD_shoot_density","Mean_ABG_biomass","SD_ABG","Mean_BLG_biomass","SD_BLG","Min_sed_depth","Core_length","Corg_stock_meas","Corg_stock_1m","ABG_biomass_per_shoot","Total_biomass_per_shoot","Mean_d13C","Seagrass_contribution","Mangrove_contribution"
"Krause_et_al_2025_Cambodia","PD12","12","11.34269","103.10415","Deep","5262.72287127369","463.196163892222","100.123774196132","55.56049990864","159.767966737234","22.5418976279609","200","100","104.476425197478","104.476425197478","0.0190250896057348","0.0493835125448029","-25.5033333333333","19.1524666666669","80.8475333333331"
"Krause_et_al_2025_Cambodia","PD19","19","11.31125","103.108333","Deep","4527.07343765479","2332.51390848457","26.5022424162708","8.97820029088804","78.2051936354865","62.792671917816","200","105","111.691507559441","106.372864342325","0.00585416666666667","0.0231291666666667","-23.9533333333333","31.0719666666669","68.9280333333331"
"Krause_et_al_2025_Cambodia","PD20","20","11.306722","103.111361","Deep","8978.69565134867","663.155740368498","39.0271455937823","6.97997739531345","205.529134069527","40.2903575048546","200","100","149.428574561593","149.428574561593","0.00434663865546219","0.0272373949579832","-24.26","28.7137","71.2863"
"Krause_et_al_2025_Cambodia","PD22","22","11.302444","103.097639","Deep","3470.75630220201","2210.8142084413","23.050348920059","18.1616499360689","112.063930387946","92.2814198260276","200","100","170.861963834294","170.861963834294","0.00664130434782609","0.038929347826087","-25.0125","23.619075","76.380925"
"Krause_et_al_2025_Cambodia","PD23","23","11.369278","103.033639","Deep","2414.43916674922","2152.09654531852","28.5960138811861","5.103426194939","105.009240947601","20.8766272995682","200","100","175.535440837347","175.535440837347","0.01184375","0.0553359375","-26.2575","13.352925","86.647075"
"Krause_et_al_2025_Cambodia","PD24","24","11.361194","103.031083","Deep","9223.91212922163","1101.65892605336","64.6805617404928","12.022342244742","415.434439128788","35.5860320681516","200","100","164.878390418512","164.878390418512","0.00701226993865031","0.0520511247443763","-26.0825","20.850675","79.149325"
"Krause_et_al_2025_Cambodia","PD25","25","11.354889","103.029389","Deep","2621.93003264173","471.192742612612","42.96947204574","37.0384632782009","70.6977968513756","10.2402106792816","200","100","202.863626465058","202.863626465058","0.0163884892086331","0.0433525179856115","-25.9825","15.467675","84.532325"
"Krause_et_al_2025_Cambodia","PD3","3","11.407667","103.061444","Deep","13449.1806710328","1940.85349712367","28.8789559710395","3.8063160813868","245.838950470645","46.506671824606","200","98","116.229215243378","118.601240044263","0.00214726507713885","0.0204263674614306","-25.2575","21.042925","78.957075"
"Krause_et_al_2025_Cambodia","PD6","6","11.394861","103.064944","Deep","12072.1958337461","794.927970881127","56.9090856725188","13.6293922265973","291.354901325066","81.1764028074627","200","83","102.052554381146","122.954884796562","0.0047140625","0.0288484375","-24.56","14.1796","85.8204"
"Krause_et_al_2025_Cambodia","PD8","8","11.398194","103.078639","Deep","4640.25027359616","4260.32247681704","25.370474056857","15.1103085530722","109.743805251148","36.0138194378728","200","84","111.735905453846","133.018935064102","0.00546747967479675","0.0291178861788618","-25.1933333333333","21.5363666666669","78.4636333333331"
"Krause_et_al_2025_Cambodia","PS5","5","11.405389","103.070139","Shallow","5507.93934914666","2840.90390868475","20.4661444993977","12.2451286991929","132.115093155559","75.0155486129894","200","100","91.4476022331715","91.4476022331715","0.00371575342465753","0.0277020547945205","-26.1266666666667","14.3590333333331","85.6409666666669"
