study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Ndhlovu_et_al_2024,Berg1,Berg1_C1,2021,6,18,-32.8131437,18.1964843,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg1,Berg1_C2,2021,6,18,-32.8131437,18.1964843,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg1,Berg1_C3,2021,6,18,-32.8131437,18.1964843,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg1,Berg1_C4,2021,6,18,-32.8131437,18.1964843,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg2,Berg2_C1,2021,6,18,-32.7721609,18.1418914,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg2,Berg2_C2,2021,6,18,-32.7721609,18.1418914,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg2,Berg2_C3,2021,6,18,-32.7721609,18.1418914,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg2,Berg2_C4,2021,6,18,-32.7721609,18.1418914,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede2,Breede2_C1,2021,6,25,-34.39693214,20.84452189,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede2,Breede2_C2,2021,6,25,-34.39693214,20.84452189,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede2,Breede2_C3,2021,6,25,-34.39693214,20.84452189,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede2,Breede2_C4,2021,6,25,-34.39693214,20.84452189,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,2021,5,30,-34.0587139,23.0510531,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
