study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,0,5,Berg1_C15,1.54505,1.2e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,5,10,Berg1_C110,1.55717,1.5e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,10,20,Berg1_C120,1.53562,4e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,20,30,Berg1_C130,1.33982,0.00418
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,30,50,Berg1_C150,0.8194,0.0111
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,0,5,Berg1_C25,1.7076,0.00179
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,5,10,Berg1_C210,1.2155,0.00349
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,10,20,Berg1_C220,1.1627,0.00454
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,20,30,Berg1_C230,0.90682,0.01482
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,30,50,Berg1_C250,0.741,0.0133
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,0,5,Berg1_C35,1.28525,0.00184
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,5,10,Berg1_C310,1.34057,0.00424
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,10,20,Berg1_C320,1.47174,8.5e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,20,30,Berg1_C330,1.06162,0.00872
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,30,50,Berg1_C350,0.79994,0.01183
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,0,5,Berg1_C45,1.0739,0.00225
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,5,10,Berg1_C410,1.36247,5.3e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,10,20,Berg1_C420,1.40816,0.00217
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,20,30,Berg1_C430,1.34604,1e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,30,50,Berg1_C450,1.20636,0.00509
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,0,5,Berg2_C15,1.0924,0.00234
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,5,10,Berg2_C110,1.2451,3e-5
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,10,20,Berg2_C120,1.28512,7.4e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,20,30,Berg2_C130,1.31188,0.00138
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,30,50,Berg2_C150,1.30858,0.00202
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,0,5,Berg2_C25,1.80817,9.5e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,5,10,Berg2_C210,1.9218,8.3e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,10,20,Berg2_C220,1.42038,0.00192
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,20,30,Berg2_C230,1.30294,6.1e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,30,50,Berg2_C250,1.26856,0.00222
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,0,5,Berg2_C35,1.83173,0.00155
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,5,10,Berg2_C310,1.92015,4.7e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,10,20,Berg2_C320,1.35172,6.8e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,20,30,Berg2_C330,1.3361,5.5e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,30,50,Berg2_C350,1.36132,1.1e-4
