study_id,site_id,plot_id,core_id,year,month,day,longitude,latitude,position_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Ndhlovu_et_al_2024,Berg,1,Berg1_C1,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,1,Berg1_C2,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,1,Berg1_C3,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,1,Berg1_C4,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C1,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C2,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C3,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C4,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C1,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C2,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C3,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C4,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C1,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C2,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C3,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C4,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C1,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C2,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C3,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C4,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C1,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C2,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
