study_id,site_id,site_description,vegetation_class,vegetation_method,inundation_class,inundation_method
Ndhlovu_et_al_2024,Berg,Site is located at the mouth of the river in the intertidal zone of Berg River Estuary in the Western Cape province on the west coast of South Africa within the cool-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Berg,Site is located away from the river mouth approaching the upper reaches in the intertidal zone of Berg River Estuary in the Western Cape province on the west coast of South Africa within the cool-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Breede,Site is located away from the river mouth approaching the upper reaches in the intertidal zone of Breede River Estuary in the Western Cape province on the south coast of South Africa within the warm-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Knysna,Site is located at the mouth of the river in the intertidal zone of Knysna River Estuary in the Western Cape province on the south coast of South Africa within the warm-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Knysna,Site is located away from the river mouth approaching the upper reaches in the intertidal zone of Knysna River Estuary in the Western Cape province on the south coast of South Africa within the warm-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Mngazana,Site is located at the mouth of the river in the intertidal zone of Mngazana River Estuary in the Eastern Cape province on the east  coast of South Africa within the subtropical biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Mngazana,Site is located away from the river mouth approaching the upper reaches in the intertidal zone of Mngazana River Estuary in the Eastern Cape province on the east  coast of South Africa within the subtropical biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Olifants,Site is located at the mouth of the river in the intertidal zone of Olifants River Estuary in the Western Cape province on the west coast of South Africa within the cool-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Olifants,Site is located away from the river mouth approaching the upper reaches in the intertidal zone of Olifants River Estuary in the Western Cape province on the west coast of South Africa within the cool-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Swartkops,Site is located at the mouth of the river in the intertidal zone of Swartkops River Estuary in the Eastern Cape province on the east  coast of South Africa within the warm-temperate biogiogegraphical region,seagrass,field observation,high,field observation
Ndhlovu_et_al_2024,Swartkops,Site is located away from the river mouth approaching the upper reaches in the intertidal zone of Swartkops River Estuary in the Eastern Cape province on the east  coast of South Africa within the warm-temperate biogiogegraphical region,seagrass,field observation,high,field observation
