"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","R1","R1-1","single set of methods",0,15,1.98049396575919,0.0086,"Sin M.O"
"Romero_et_al_2025","R1","R1-1","single set of methods",15,30,1.82360370474319,0.0085,"Pocas raíces"
"Romero_et_al_2025","R1","R1-2","single set of methods",0,15,0.808307605950042,0.0547,"Raíces"
"Romero_et_al_2025","R1","R1-2","single set of methods",15,30,0.724108896996913,0.0711,"Raíces y una raíz grande"
"Romero_et_al_2025","R1","R1-2","single set of methods",30,50,1.30016839741791,0.0216,"Raíces y una raíz grande"
"Romero_et_al_2025","R1","R1-2","single set of methods",50,100,1.9100477126017401,0.0026,"0.1 % raíces"
"Romero_et_al_2025","R1","R1-3","single set of methods",0,15,0.928711759753017,0.0406,"Raíces"
"Romero_et_al_2025","R1","R1-3","single set of methods",15,30,0.656328936289644,0.0545,"Raíces"
"Romero_et_al_2025","R1","R1-3","single set of methods",30,50,1.17022172326691,0.0245,"Raíces"
"Romero_et_al_2025","R1","R1-3","single set of methods",50,100,2.03536345776031,0.0026,"Pocas raíces"
"Romero_et_al_2025","R1","R1-4","single set of methods",0,15,1.2597530171204,0.027,"Raíces"
"Romero_et_al_2025","R1","R1-4","single set of methods",15,30,1.02119000841987,0.0321,"Raíces y una raíz grande"
"Romero_et_al_2025","R1","R1-4","single set of methods",30,50,1.1066516980073,0.0224,"Raíces y una raíz grande"
"Romero_et_al_2025","R1","R1-4","single set of methods",50,100,1.43095705865843,0.0219,"Raíces"
"Romero_et_al_2025","R2","R2-1","single set of methods",0,15,0.513879677877783,0.0471,"Pocas raíces"
"Romero_et_al_2025","R2","R2-1","single set of methods",15,30,0.685771288655119,0.04589999999999999,"Pocas raíces"
"Romero_et_al_2025","R2","R2-1","single set of methods",30,50,0.597820212574311,0.0493,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-1","single set of methods",50,100,0.576447392005736,0.053,"Muestra compacta"
"Romero_et_al_2025","R2","R2-2","single set of methods",0,15,0.524869729985789,0.05509999999999999,"Pocas raíces"
"Romero_et_al_2025","R2","R2-2","single set of methods",15,30,0.509204679423234,0.0511,"Pocas raíces"
"Romero_et_al_2025","R2","R2-2","single set of methods",30,50,0.566024139794632,0.048,"Raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-2","single set of methods",50,100,0.654418354543825,0.0389,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-3","single set of methods",0,15,0.46887730933207,0.0596,"Pocas raíces"
"Romero_et_al_2025","R2","R2-3","single set of methods",15,30,0.53749886641879,0.04969999999999999,"Pocas raíces"
"Romero_et_al_2025","R2","R2-3","single set of methods",30,50,0.568095838587642,0.04190000000000001,"Pocas raíces"
"Romero_et_al_2025","R2","R2-3","single set of methods",50,100,0.680587918981896,0.035,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-4","single set of methods",0,15,0.44301279014685,0.0649,"Pocas raíces"
"Romero_et_al_2025","R2","R2-4","single set of methods",15,30,0.48417520631178,0.0645,"Pocas raíces"
"Romero_et_al_2025","R2","R2-4","single set of methods",30,50,0.685011709601874,0.0469,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-5","single set of methods",0,15,0.416674561819043,0.0703,"Pocas raíces"
"Romero_et_al_2025","R2","R2-5","single set of methods",15,30,0.591548018500045,0.0496,"Pocas raíces"
"Romero_et_al_2025","R2","R2-5","single set of methods",30,50,0.67303188614664,0.0423,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-6","single set of methods",0,15,0.554239696826149,0.0496,"Raíces y una concha de 1cm"
"Romero_et_al_2025","R2","R2-6","single set of methods",15,30,0.571687675705087,0.051,"Raíces"
"Romero_et_al_2025","R2","R2-6","single set of methods",30,50,0.711763646189876,0.032,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R2","R2-6","single set of methods",50,100,0.81448288223696,0.0278,"Raíces y dos raíces grandes"
"Romero_et_al_2025","R3","R3-1","single set of methods",0,15,0.455045002368546,0.0703,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-1","single set of methods",15,30,0.318944409177474,0.0801,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-1","single set of methods",30,50,0.418933525490903,0.0654,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-2","single set of methods",0,15,0.458550450023685,0.0547,"Pocas raíces"
"Romero_et_al_2025","R3","R3-2","single set of methods",15,30,0.527795411263263,0.0504,"Raíces"
"Romero_et_al_2025","R3","R3-2","single set of methods",30,50,0.458746171860926,0.0549,"Una raíz grande"
"Romero_et_al_2025","R3","R3-3","single set of methods",0,15,0.370914258645192,0.0953,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-3","single set of methods",15,30,0.334633173120522,0.08380000000000001,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-3","single set of methods",30,50,0.431543865970095,0.0786,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-3","single set of methods",50,100,0.559598494353827,0.063,"Raíces y una raíz grande"
"Romero_et_al_2025","R3","R3-4","single set of methods",0,15,0.365703458076741,0.061,"Raíces"
