"study_id","site_id","plot_id","debris_transect_id","debris_id","debris_transect_length","debris_diameter","debris_class"
"Romero_et_al_2025","R1",1,"4",1,12,"7","intermediate"
"Romero_et_al_2025","R1",1,"1",2,12,"15","intermediate"
"Romero_et_al_2025","R1",1,"1",3,12,"8","rotten"
"Romero_et_al_2025","R1",1,"2",4,12,"14","rotten"
"Romero_et_al_2025","R1",1,"2",5,12,"8","rotten"
"Romero_et_al_2025","R1",2,"1",1,12,"12","intermediate"
"Romero_et_al_2025","R1",2,"1",2,12,"8","rotten"
"Romero_et_al_2025","R1",2,"1",3,12,"7","rotten"
"Romero_et_al_2025","R1",3,"1",1,12,"17.5","intermediate"
"Romero_et_al_2025","R1",3,"1",2,12,"5","rotten"
"Romero_et_al_2025","R1",3,"1",3,12,"7","rotten"
"Romero_et_al_2025","R1",3,"2",4,12,"8","rotten"
"Romero_et_al_2025","R1",4,"2",1,12,"8","rotten"
"Romero_et_al_2025","R1",4,"4",2,12,"16.3","rotten"
"Romero_et_al_2025","R1",4,"3",3,12,"8.5","rotten"
"Romero_et_al_2025","R4",1,"4",1,12,"6","sound"
"Romero_et_al_2025","R4",4,"4",1,12,"2","intermediate"
"Romero_et_al_2025","R4",4,"2",1,12,"1","intermediate"
"Romero_et_al_2025","R5",2,"2",1,12,"2.5","rotten"
"Romero_et_al_2025","R5",2,"2",2,12,"2.5","intermediate"
"Romero_et_al_2025","R5",2,"2",3,12,"2.8","intermediate"
"Romero_et_al_2025","R5",2,"2",4,12,"2.5","intermediate"
"Romero_et_al_2025","R5",2,"1",5,12,"2.8","rotten"
"Romero_et_al_2025","SF1",2,"3",1,12,"10","rotten"
"Romero_et_al_2025","SF1",3,"4",1,12,"14","rotten"
"Romero_et_al_2025","SF1",5,"1",1,12,"50","rotten"
"Romero_et_al_2025","SF1",5,"4",2,12,"4","rotten"
"Romero_et_al_2025","SF1",5,"2",3,12,"7","rotten"
"Romero_et_al_2025","SF1",5,"3",4,12,"6","rotten"
"Romero_et_al_2025","SF1",5,"4",5,12,"8","rotten"
"Romero_et_al_2025","SF1",5,"4",6,12,"10","rotten"
"Romero_et_al_2025","SF2",2,"3",1,12,"13","intermediate"
"Romero_et_al_2025","SF2",2,"3",2,12,"4.8","intermediate"
"Romero_et_al_2025","SF2",2,"3",3,12,"6.8","sound"
"Romero_et_al_2025","SF2",2,"3",3,12,"6.8","sound"
"Romero_et_al_2025","SF2",2,"3",4,12,"2.7","rotten"
"Romero_et_al_2025","SF2",3,"3",1,12,"13","rotten"
"Romero_et_al_2025","SF2",3,"3",2,12,"16","rotten"
"Romero_et_al_2025","SF2",3,"4",3,12,"7.1","rotten"
"Romero_et_al_2025","SF2",3,"4",3,12,"7.1","rotten"
"Romero_et_al_2025","SF2",4,"3",1,12,"3.2","rotten"
"Romero_et_al_2025","SF2",4,"3",2,12,"9.1","rotten"
"Romero_et_al_2025","SF2",4,"1",3,12,"2.9","rotten"
"Romero_et_al_2025","SF2",4,"1",4,12,"7.1","intermediate"
"Romero_et_al_2025","SF2",4,"1",4,12,"7.1","intermediate"
"Romero_et_al_2025","SF2",4,"1",5,12,"3.5","rotten"
"Romero_et_al_2025","SF2",5,"4",1,12,"2.5","rotten"
"Romero_et_al_2025","SF2",5,"4",2,12,"2.8","rotten"
"Romero_et_al_2025","SF2",5,"4",3,12,"3","rotten"
"Romero_et_al_2025","SF2",6,"3",1,12,"3.9","rotten"
"Romero_et_al_2025","SF2",6,"2",2,12,"3.5","intermediate"
"Romero_et_al_2025","SF2",6,"1",3,12,"8.8000000000000007","rotten"
"Romero_et_al_2025","SF2",6,"1",4,12,"4.5","rotten"
"Romero_et_al_2025","SF2",6,"1",5,12,"8.5","sound"
"Romero_et_al_2025","SF2",6,"4",6,12,"3.5","rotten"
"Romero_et_al_2025","SF2",6,"4",7,12,"3.5","intermediate"
"Romero_et_al_2025","SF2",6,"4",8,12,"4.8","rotten"
"Romero_et_al_2025","SF2",6,"4",9,12,"4.0999999999999996","rotten"
"Romero_et_al_2025","SF2",6,"4",10,12,"4.7","rotten"
"Romero_et_al_2025","SF2",6,"4",11,12,"4","rotten"
"Romero_et_al_2025","SF3",1,"4",1,12,"3.7","intermediate"
"Romero_et_al_2025","SF3",1,"1",2,12,"4.7","intermediate"
"Romero_et_al_2025","SF3",2,"4",1,12,"4.4000000000000004","rotten"
"Romero_et_al_2025","SF3",2,"4",2,12,"4.0999999999999996","rotten"
"Romero_et_al_2025","SF3",2,"1",3,12,"12","rotten"
"Romero_et_al_2025","SF3",3,"2",1,12,"3","intermediate"
"Romero_et_al_2025","SF3",3,"1",2,12,"3.3","intermediate"
"Romero_et_al_2025","SF3",4,"3",1,12,"5.4","rotten"
"Romero_et_al_2025","SF3",4,"3",1,12,"5.4","rotten"
"Romero_et_al_2025","SF3",5,"3",1,12,"8","intermediate"
"Romero_et_al_2025","SF3",5,"4",2,12,"6","rotten"
"Romero_et_al_2025","SF3",5,"4",2,12,"6","rotten"
"Romero_et_al_2025","SF3",6,"1",1,12,"16.399999999999999","rotten"
"Romero_et_al_2025","SL1",1,"2",1,12,"7","intermediate"
"Romero_et_al_2025","SL1",5,"3",1,12,"5.4","intermediate"
"Romero_et_al_2025","SL1",6,"2",1,12,"6.7","intermediate"
"Romero_et_al_2025","SL1",6,"4",1,12,"7.5","intermediate"
"Romero_et_al_2025","SL1",6,"4",2,12,"3.7","intermediate"
"Romero_et_al_2025","SL1",6,"2",2,12,"7","rotten"
"Romero_et_al_2025","SL1",6,"4",3,12,"3","intermediate"
"Romero_et_al_2025","SL1",6,"4",4,12,"2.9","intermediate"
"Romero_et_al_2025","SL10",1,"1",1,12,"27","sound"
"Romero_et_al_2025","SL10",1,"2",1,12,"28","sound"
"Romero_et_al_2025","SL10",1,"4",1,12,"12.3","intermediate"
"Romero_et_al_2025","SL10",1,"3",1,12,"43","intermediate"
"Romero_et_al_2025","SL10",1,"4",2,12,"6","intermediate"
"Romero_et_al_2025","SL10",1,"3",2,12,"7.3","rotten"
"Romero_et_al_2025","SL10",1,"4",3,12,"7.8","intermediate"
"Romero_et_al_2025","SL10",1,"4",4,12,"17.5","sound"
"Romero_et_al_2025","SL10",1,"4",5,12,"7","intermediate"
"Romero_et_al_2025","SL10",1,"4",6,12,"48","sound"
"Romero_et_al_2025","SL10",2,"2",1,12,"2.7","rotten"
"Romero_et_al_2025","SL10",2,"3",1,12,"23.5","rotten"
"Romero_et_al_2025","SL10",2,"4",1,12,"25","rotten"
"Romero_et_al_2025","SL10",2,"3",2,12,"8.6999999999999993","rotten"
"Romero_et_al_2025","SL10",2,"4",2,12,"23.8","rotten"
"Romero_et_al_2025","SL10",3,"1",1,12,"4","intermediate"
"Romero_et_al_2025","SL10",3,"2",1,12,"4","intermediate"
"Romero_et_al_2025","SL10",3,"4",1,12,"35","intermediate"
"Romero_et_al_2025","SL10",3,"3",1,12,"37.5","intermediate"
"Romero_et_al_2025","SL10",3,"2",2,12,"3","intermediate"
"Romero_et_al_2025","SL10",3,"4",2,12,"7.5","intermediate"
"Romero_et_al_2025","SL10",3,"3",2,12,"10","intermediate"
"Romero_et_al_2025","SL10",3,"4",3,12,"5","intermediate"
"Romero_et_al_2025","SL10",3,"2",3,12,"5","rotten"
"Romero_et_al_2025","SL10",3,"3",3,12,"5","rotten"
"Romero_et_al_2025","SL10",3,"2",4,12,"4.2","intermediate"
"Romero_et_al_2025","SL10",3,"4",4,12,"17","intermediate"
"Romero_et_al_2025","SL10",3,"3",4,12,"11.7","rotten"
"Romero_et_al_2025","SL10",3,"2",5,12,"3.1","intermediate"
"Romero_et_al_2025","SL10",3,"4",5,12,"14","intermediate"
"Romero_et_al_2025","SL10",3,"3",5,12,"27.3","rotten"
"Romero_et_al_2025","SL10",3,"3",6,12,"4.4000000000000004","intermediate"
"Romero_et_al_2025","SL10",3,"4",6,12,"6","intermediate"
"Romero_et_al_2025","SL10",3,"4",7,12,"5","rotten"
"Romero_et_al_2025","SL10",4,"3",1,12,"7.3","intermediate"
"Romero_et_al_2025","SL10",4,"1",1,12,"42.2","intermediate"
"Romero_et_al_2025","SL10",4,"2",1,12,"6.4","rotten"
"Romero_et_al_2025","SL10",4,"4",1,12,"12.2","rotten"
"Romero_et_al_2025","SL10",4,"1",2,12,"13.3","intermediate"
"Romero_et_al_2025","SL10",4,"4",2,12,"6","rotten"
"Romero_et_al_2025","SL10",4,"1",3,12,"13","rotten"
"Romero_et_al_2025","SL10",4,"4",3,12,"40","rotten"
"Romero_et_al_2025","SL10",4,"4",4,12,"6.8","rotten"
"Romero_et_al_2025","SL10",4,"1",4,12,"19.3","rotten"
"Romero_et_al_2025","SL10",4,"4",5,12,"12","rotten"
"Romero_et_al_2025","SL10",5,"3",1,12,"7.8","rotten"
"Romero_et_al_2025","SL10",5,"3",2,12,"30","intermediate"
"Romero_et_al_2025","SL10",5,"3",3,12,"2.9","rotten"
"Romero_et_al_2025","SL10",5,"3",4,12,"4.8","rotten"
"Romero_et_al_2025","SL11",1,"3",1,12,"38","intermediate"
"Romero_et_al_2025","SL11",1,"3",2,12,"6","intermediate"
"Romero_et_al_2025","SL11",1,"3",3,12,"5.7","intermediate"
"Romero_et_al_2025","SL11",1,"3",4,12,"6.7","intermediate"
"Romero_et_al_2025","SL11",2,"4",5,12,"6.2","rotten"
"Romero_et_al_2025","SL11",5,"1",1,12,"7.6","intermediate"
"Romero_et_al_2025","SL11",5,"4",2,12,"5","rotten"
"Romero_et_al_2025","SL11",5,"1",3,12,"7.2","intermediate"
"Romero_et_al_2025","SL11",6,"1",1,12,"9.6999999999999993","intermediate"
"Romero_et_al_2025","SL11",6,"1",2,12,"30","intermediate"
"Romero_et_al_2025","SL11",6,"1",3,12,"12.4","intermediate"
"Romero_et_al_2025","SL11",6,"1",4,12,"12.3","intermediate"
"Romero_et_al_2025","SL11",6,"1",5,12,"34.4","intermediate"
"Romero_et_al_2025","SL11",6,"1",6,12,"5.2","intermediate"
"Romero_et_al_2025","SL11",6,"1",7,12,"13.6","intermediate"
"Romero_et_al_2025","SL12",2,"3",1,12,"13","intermediate"
"Romero_et_al_2025","SL12",2,"3",2,12,"4.8","intermediate"
"Romero_et_al_2025","SL12",2,"3",3,12,"6.8","sound"
"Romero_et_al_2025","SL12",2,"3",4,12,"2.7","rotten"
"Romero_et_al_2025","SL12",3,"3",1,12,"13","rotten"
"Romero_et_al_2025","SL12",3,"3",2,12,"16","rotten"
"Romero_et_al_2025","SL12",3,"4",3,12,"7.1","rotten"
"Romero_et_al_2025","SL12",4,"3",1,12,"3.2","rotten"
"Romero_et_al_2025","SL12",4,"3",2,12,"9.1","rotten"
"Romero_et_al_2025","SL12",4,"1",3,12,"2.9","rotten"
"Romero_et_al_2025","SL12",4,"1",4,12,"7.1","intermediate"
"Romero_et_al_2025","SL12",4,"1",5,12,"3.5","rotten"
"Romero_et_al_2025","SL12",5,"4",1,12,"2.5","rotten"
"Romero_et_al_2025","SL12",5,"4",2,12,"2.8","rotten"
"Romero_et_al_2025","SL12",5,"4",3,12,"3","rotten"
"Romero_et_al_2025","SL12",6,"3",1,12,"3.9","rotten"
"Romero_et_al_2025","SL12",6,"2",2,12,"3.5","intermediate"
"Romero_et_al_2025","SL12",6,"1",3,12,"8.8000000000000007","rotten"
"Romero_et_al_2025","SL12",6,"1",4,12,"4.5","rotten"
"Romero_et_al_2025","SL12",6,"1",5,12,"8.5","sound"
"Romero_et_al_2025","SL12",6,"4",6,12,"3.5","rotten"
"Romero_et_al_2025","SL12",6,"4",7,12,"3.5","intermediate"
"Romero_et_al_2025","SL12",6,"4",8,12,"4.8","rotten"
"Romero_et_al_2025","SL12",6,"4",9,12,"4.0999999999999996","rotten"
"Romero_et_al_2025","SL12",6,"4",10,12,"4.7","rotten"
"Romero_et_al_2025","SL12",6,"4",11,12,"4","rotten"
"Romero_et_al_2025","SL13",1,"3",1,12,"5","rotten"
"Romero_et_al_2025","SL13",1,"4",1,12,"5","rotten"
"Romero_et_al_2025","SL13",1,"3",2,12,"2","rotten"
"Romero_et_al_2025","SL13",1,"4",2,12,"2","rotten"
"Romero_et_al_2025","SL13",1,"3",3,12,"7","intermediate"
"Romero_et_al_2025","SL13",2,"4",1,12,"5","rotten"
"Romero_et_al_2025","SL13",2,"1",2,12,"7","rotten"
"Romero_et_al_2025","SL13",2,"2",3,12,"4","rotten"
"Romero_et_al_2025","SL13",3,"3",1,12,"6","rotten"
"Romero_et_al_2025","SL13",3,"3",2,12,"8","rotten"
"Romero_et_al_2025","SL13",3,"3",3,12,"4","rotten"
"Romero_et_al_2025","SL13",4,"1",1,12,"4","rotten"
"Romero_et_al_2025","SL13",5,"1",1,12,"5.5","rotten"
"Romero_et_al_2025","SL13",5,"4",1,12,"6","rotten"
"Romero_et_al_2025","SL14",2,"3",1,12,"13","intermediate"
"Romero_et_al_2025","SL14",2,"3",2,12,"4.8","intermediate"
