"study_id","site_id","plot_id","core_id","representative_depth_min","representative_depth_max","sediment_dry_weight","dry_bulk_density","fraction_carbon","fraction_h2o","depth_interval_notes","soil_color","soil_carbon_density","interval_carbon_stock"
"Romero_et_al_2025","R1","1","R1-1","0","15","141.13",1.98049396575919,0.0086,0.726912181303116,"Sin M.O","Light yellowish brown",0.01703,0.25548
"Romero_et_al_2025","R1","1","R1-1","15","30","129.95",1.82360370474319,0.0085,0.707981476436938,"Pocas raíces","Light yellowish brown",0.0155,0.23251
"Romero_et_al_2025","R1","2","R1-2","0","15","57.6",0.808307605950042,0.0547,0.428826682549136,"Raíces","Gray",0.04421,0.66322
"Romero_et_al_2025","R1","2","R1-2","15","30","51.6",0.724108896996913,0.0711,0.393742846241892,"Raíces y una raíz grande","Dark gray",0.05148,0.77226
"Romero_et_al_2025","R1","2","R1-2","30","50","92.65",1.30016839741791,0.0216,0.583475029913723,"Raíces y una raíz grande","Gray",0.02808,0.56167
"Romero_et_al_2025","R1","2","R1-2","50","100","136.11",1.9100477126017401,0.0026,0.722452229299363,"0.1 % raíces","Gray",0.00497,0.15395
"Romero_et_al_2025","R1","3","R1-3","0","15","66.18",0.928711759753017,0.0406,0.462991464950329,"Raíces","Gray",0.03771,0.56559
"Romero_et_al_2025","R1","3","R1-3","15","30","46.77",0.656328936289644,0.0545,0.37225405921681004,"Raíces","Gray",0.03577,0.53655
"Romero_et_al_2025","R1","3","R1-3","30","50","83.39",1.17022172326691,0.0245,0.523510578190721,"Raíces","Gray",0.02867,0.57341
"Romero_et_al_2025","R1","3","R1-3","50","100","145.04",2.03536345776031,0.0026,0.744596745212793,"Pocas raíces","Gray",0.00529,0.13759
"Romero_et_al_2025","R1","4","R1-4","0","15","89.77",1.2597530171204,0.027000000000000003,0.5486157795025359,"Raíces","Gray",0.03401,0.5102
"Romero_et_al_2025","R1","4","R1-4","15","30","72.77",1.02119000841987,0.0321,0.48643048128342303,"Raíces y una raíz grande","Gray",0.03278,0.4917
"Romero_et_al_2025","R1","4","R1-4","30","50","78.86",1.1066516980073,0.022400000000000003,0.535915732246007,"Raíces y una raíz grande","Gray",0.02479,0.49578
"Romero_et_al_2025","R1","4","R1-4","50","100","101.97",1.43095705865843,0.0219,0.599752970238795,"Raíces","Dark gray",0.03134,1.1595
"Romero_et_al_2025","R2","1","R2-1","0","15","54.24",0.513879677877783,0.0471,0.412220702234382,"Pocas raíces","Gray",0.0242,0.36306
"Romero_et_al_2025","R2","1","R2-1","15","30","75.62",0.685771288655119,0.045899999999999996,0.425668449197861,"Pocas raíces","Dark gray",0.03148,0.47215
"Romero_et_al_2025","R2","1","R2-1","30","50","66.37",0.597820212574311,0.0493,0.44158349966733196,"Pocas raíces y una raíz grande","Gray",0.02947,0.58945
"Romero_et_al_2025","R2","1","R2-1","50","100","64.32",0.576447392005736,0.053,0.437194127243067,"Muestra compacta","Gray",0.03055,0.73324
"Romero_et_al_2025","R2","2","R2-2","0","15","55.4",0.524869729985789,0.055099999999999996,0.399077942659559,"Pocas raíces","Grayish brown",0.02892,0.4338
"Romero_et_al_2025","R2","2","R2-2","15","30","56.15",0.509204679423234,0.051100000000000007,0.412564290962528,"Pocas raíces","Gray",0.02602,0.39031
"Romero_et_al_2025","R2","2","R2-2","30","50","62.84",0.566024139794632,0.048,0.46236480023545,"Raíces y una raíz grande","Gray",0.02717,0.54338
"Romero_et_al_2025","R2","2","R2-2","50","100","73.02",0.654418354543825,0.038900000000000004,0.474125056814493,"Pocas raíces y una raíz grande","Gray",0.02546,0.56005
"Romero_et_al_2025","R2","3","R2-3","0","15","49.49",0.46887730933207,0.0596,0.372749868193116,"Pocas raíces","Grayish brown",0.02795,0.41918
"Romero_et_al_2025","R2","3","R2-3","15","30","59.27",0.53749886641879,0.049699999999999994,0.41964032851883304,"Pocas raíces","Grayish brown",0.02671,0.40071
"Romero_et_al_2025","R2","3","R2-3","30","50","63.07",0.568095838587642,0.04190000000000001,0.44607115071787296,"Pocas raíces","Gray",0.0238,0.47606
"Romero_et_al_2025","R2","3","R2-3","50","100","75.94",0.680587918981896,0.035,0.494047231800143,"Pocas raíces y una raíz grande","Gray",0.02382,0.30967
"Romero_et_al_2025","R2","4","R2-4","0","15","46.76",0.44301279014685,0.0649,0.364998829131215,"Pocas raíces","Grayish brown",0.02875,0.43127
"Romero_et_al_2025","R2","4","R2-4","15","30","53.39",0.48417520631178,0.0645,0.395657329183341,"Pocas raíces","Gray",0.03123,0.46844
"Romero_et_al_2025","R2","4","R2-4","30","50","76.05",0.685011709601874,0.046900000000000004,0.485570169837824,"Pocas raíces y una raíz grande","Dark gray, gray",0.03213,0.64254
"Romero_et_al_2025","R2","5","R2-5","0","15","43.98",0.416674561819043,0.0703,0.35260161949811597,"Pocas raíces","Grayish brown",0.02929,0.43938
"Romero_et_al_2025","R2","5","R2-5","15","30","65.23",0.591548018500045,0.0496,0.424370567952638,"Pocas raíces","Gray",0.02934,0.44011
"Romero_et_al_2025","R2","5","R2-5","30","50","74.72",0.67303188614664,0.042300000000000004,0.47100353000504297,"Pocas raíces y una raíz grande","Dark gray",0.02847,0.56938
"Romero_et_al_2025","R2","6","R2-6","0","15","58.5",0.554239696826149,0.0496,0.411103302881237,"Raíces y una concha de 1cm","Gray",0.02749,0.41235
"Romero_et_al_2025","R2","6","R2-6","15","30","63.04",0.571687675705087,0.051,0.424626161929139,"Raíces","Gray",0.02916,0.43734
"Romero_et_al_2025","R2","6","R2-6","30","50","79.02",0.711763646189876,0.032,0.496887379739672,"Pocas raíces y una raíz grande","Dark gray",0.02278,0.45553
