"study_id","site_id","plot_id","salinity","pH","soil_temperature","presence_organic","presence_mineral","presence_sand","presence_clay","presence_silt","environment_notes"
"Romero_et_al_2025","R1",1,3.47,7.06,32.2,FALSE,TRUE,TRUE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R1",2,3.55,7.36,27.7,TRUE,FALSE,TRUE,FALSE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R1",3,3.44,6.98,27,TRUE,FALSE,TRUE,FALSE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R1",4,2.03,7.1,22.9,TRUE,FALSE,TRUE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R2",1,3.47,7.58,26.4,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R2",2,3.26,7.1,28.7,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R2",3,3.29,7.28,28.5,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R2",4,3.34,7.05,29.4,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R2",5,3.36,4.8,28.5,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R2",6,3.4,6.9,29.4,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R3",1,3.4,7.88,26.1,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R3",2,3.41,7.34,29.1,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R3",3,3.35,7.42,27.8,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R3",4,3.34,7.3,28.2,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R3",5,3.33,7.1,28.6,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R3",6,3.4,7,29.2,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R4",1,2.9,6.87,27.3,TRUE,FALSE,FALSE,FALSE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R4",2,3.34,7,26.7,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R4",3,3.36,6.74,27.1,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R4",4,3.38,7,26.5,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R5",1,3.33,7,28.6,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R5",2,3.32,6.97,28.4,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R5",3,3.29,7.1,29.4,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R5",4,3.3,7.15,29.8,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R5",5,3.34,6.88,29.4,NA,NA,NA,NA,NA,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","R5",6,3.31,7.06,29.6,NA,NA,NA,NA,NA,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF2",1,3.37,6.71,27.6,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF2",2,3.35,7.04,27.9,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF2",3,3.38,6.98,28.8,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF2",4,3.36,6.87,29.3,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF2",5,3.33,7.19,30.7,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF2",6,3.34,7.31,30.1,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF3",1,3.31,6.83,27.6,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF3",2,3.37,6.66,27.9,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF3",3,3.36,6.88,28.3,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF3",4,3.35,6.94,28.4,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF3",5,3.38,6.9,29,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SF3",6,3.39,6.86,29.4,TRUE,FALSE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SL13",1,7.29,7.02,26.9,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SL13",2,9.74,7.13,27.3,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SL13",3,9.77,6.87,27.6,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SL13",4,8.92,6.91,28,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SL13",5,8.75,7.05,30,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
"Romero_et_al_2025","SL13",6,6.77,6.91,30.3,TRUE,TRUE,FALSE,TRUE,TRUE,"Measurements taken from water that filled the borehole created by coring."
