"study_id","site_id","plot_id","plant_id","year","month","day","species","plot_radius","alive_or_dead","decay_class","diameter","diameter_height","diameter_flag","basal_area","basal_density","total_height","canopy_height","height_method","canopy_quality","plant_AGB_kg_general","plant_AGC_kg_general","plant_AGB_kg_species","plant_AGC_kg_species","plant_BGB_kg","plant_BGC_kg","plant_notes"
"Romero_et_al_2025","R1","1","R1_1_5",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"6.5","1.8","diameter above lowest prop root","3.3166249999999997E-3","33.166249999999998","4","2","clinometer","low","14.912053001341757","7.30690597065746","16.625882118299174","8.1466822379665942","11.618533523837286","4.5312280742965418","hongos, plaga insectos"
"Romero_et_al_2025","R1","1","R1_1_7",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"6.5","2","diameter above lowest prop root","3.3166249999999997E-3","33.166249999999998","8","4","clinometer","medium","14.912053001341757","7.30690597065746","16.625882118299174","8.1466822379665942","11.618533523837286","4.5312280742965418","hongos"
"Romero_et_al_2025","R1","1","R1_1_6",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"6.8","2","diameter above lowest prop root","3.6298400000000001E-3","36.298400000000001","5","3","clinometer","low","16.670862045104922","8.16872240210141","18.695330309576011","9.1607118516922448","12.842614602550769","5.0086196949947999","hongos, plaga insectos"
"Romero_et_al_2025","R1","1","R1_1_8",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"11.2","2","diameter above lowest prop root","9.8470399999999996E-3","98.470399999999998","10","5","clinometer","low","57.206617329292605","28.0312424913534","68.419016741243851","33.525318203209487","38.881917461377917","15.163947809937389","hongos"
"Romero_et_al_2025","R1","1","R1_1_4",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"18.5","1.8","diameter above lowest prop root","2.6866624999999998E-2","268.66624999999999","18","15","clinometer","medium","197.70145940529599","96.873715108595","252.26468872389992","123.60969747471096","118.46904859856343","46.202928953439738","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_1",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"33","2.5","diameter above lowest prop root","8.5486500000000007E-2","854.86500000000012","21.5","18","clinometer","high","826.18342866681462","404.829880046739","1135.9159907595188","556.59883547216418","428.13882241394998","166.97414074144049","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_2",2016,2,9,"Laguncularia racemosa",7,"alive",NA,"5.3","1.3","DBH","2.205065E-3","22.050650000000001","3.5","1.5","clinometer","low","9.0056322457627154","4.41275980042373","6.6036035805151343","3.2357657544524159","5.0968691120343648","1.9877789536934023","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_3",2016,2,9,"Laguncularia racemosa",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","5","2.5","clinometer","medium","12.236022701000543","5.99565112349027","10.432472343456965","5.1119114482939123","6.7128481986764177","2.6180107974838029","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_7",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.1","1.3","DBH","2.041785E-3","20.417849999999998","2.8","1.7","clinometer","medium","8.1890672849745165","4.01264296963751","5.9058056378802171","2.7757286498037019","6.5356182293576799","2.548891109449495","hongos"
"Romero_et_al_2025","R1","1","R1_1_1",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.5","1.3","DBH","2.374625E-3","23.74625","3","2","clinometer","low","9.8688089164845607","4.83571636907743","7.154382148620563","3.3625596098516644","7.7283370646007885","3.0140514551943078","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_3",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","2.7","1.8","clinometer","low","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_4",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","3","2.5","clinometer","low","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_10",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","3.5","3","clinometer","low","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","hongos"
"Romero_et_al_2025","R1","1","R1_1_13",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","3.5","2","clinometer","medium","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","hongos"
"Romero_et_al_2025","R1","1","R1_1_6",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","4","3","clinometer","medium","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","hongos, plaga insectos"
"Romero_et_al_2025","R1","1","R1_1_11",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","4","3","clinometer","medium","12.236022701000543","5.99565112349027","8.9239078857797409","4.1942367063164783","9.3751162229642215","3.6562953269560463","hongos"
