"study_id","site_id","plot_id","subplot_area","species","seedling_count","seedling_height_range"
"Romero_et_al_2025","R1","1",12.6,"Peliciera rhizophorae","2","100"
"Romero_et_al_2025","R1","1",12.6,"Rhizophora racemosa","1","100"
"Romero_et_al_2025","R1","2",12.6,"Peliciera rhizophorae","2","100"
"Romero_et_al_2025","R1","2",12.6,"Rhizophora racemosa","1","100"
"Romero_et_al_2025","R1","3",12.6,"Peliciera rhizophorae","21","75"
"Romero_et_al_2025","R1","4",12.6,"Peliciera rhizophorae","51","75"
"Romero_et_al_2025","R2","0",12.6,NA,"0","0"
"Romero_et_al_2025","R2","0",12.6,NA,"0","0"
"Romero_et_al_2025","R3","1",12.6,NA,"0","0"
"Romero_et_al_2025","R3","2",12.6,NA,"0","0"
"Romero_et_al_2025","R3","3",12.6,NA,"0","0"
"Romero_et_al_2025","R3","4",12.6,NA,"0","0"
"Romero_et_al_2025","R3","5",12.6,NA,"0","0"
"Romero_et_al_2025","R3","6",12.6,NA,"0","0"
"Romero_et_al_2025","R4","1",12.6,NA,"0","0"
"Romero_et_al_2025","R4","2",12.6,NA,"0","0"
"Romero_et_al_2025","R4","3",12.6,NA,"0","0"
"Romero_et_al_2025","R4","4",12.6,NA,"0","0"
"Romero_et_al_2025","R4","5",12.6,NA,"0","0"
"Romero_et_al_2025","R4","6",12.6,NA,"0","0"
"Romero_et_al_2025","R5","2",12.6,"Rhizophora racemosa","1","3"
"Romero_et_al_2025","R5","5",12.6,"Laguncularia racemosa","20","6"
"Romero_et_al_2025","R5","5",12.6,"Avicennia germinans","15","6"
"Romero_et_al_2025","SF1","3",12.6,"Rhizophora racemosa","3","7"
"Romero_et_al_2025","SF1","5",12.6,"Laguncularia racemosa","20","7"
"Romero_et_al_2025","SF1","5",12.6,"Avicennia germinans","15","7"
"Romero_et_al_2025","SF2","1",12.6,"Rhizophora mangle","25","70"
"Romero_et_al_2025","SF2","3",12.6,"Rhizophora mangle","6","80"
"Romero_et_al_2025","SF3","1",12.6,"Rhizophora racemosa","30","65"
"Romero_et_al_2025","SL1","0",12.6,NA,"0","0"
"Romero_et_al_2025","SL10","1",12.6,"Rhizophora racemosa","7","55-60"
"Romero_et_al_2025","SL10","2",12.6,"Rhizophora racemosa","10","30-70"
"Romero_et_al_2025","SL10","3",12.6,"Rhizophora racemosa","3","40-70"
"Romero_et_al_2025","SL10","4",12.6,"Rhizophora racemosa","4","50-70"
"Romero_et_al_2025","SL10","5",12.6,"Rhizophora racemosa","59","30-90"
"Romero_et_al_2025","SL10","6",12.6,"Rhizophora racemosa","29","30-80"
"Romero_et_al_2025","SL11","1",12.6,NA,"0","0"
"Romero_et_al_2025","SL11","2",12.6,NA,"0","0"
"Romero_et_al_2025","SL11","3",12.6,NA,"0","0"
"Romero_et_al_2025","SL11","4",12.6,NA,"0","0"
"Romero_et_al_2025","SL11","5",12.6,NA,"0","0"
"Romero_et_al_2025","SL11","6",12.6,NA,"0","0"
"Romero_et_al_2025","SL12","1",12.6,"Rhizophora mangle","25","70"
"Romero_et_al_2025","SL12","3",12.6,"Rhizophora mangle","6","80"
"Romero_et_al_2025","SL13","1",12.6,"Rhizophora mangle","3","37-40"
"Romero_et_al_2025","SL13","2",12.6,"Rhizophora mangle","2","29-32"
"Romero_et_al_2025","SL13","3",12.6,"Rhizophora mangle","3","50"
"Romero_et_al_2025","SL13","4",12.6,"Rhizophora mangle","6","21cm-1.5m"
"Romero_et_al_2025","SL13","4",12.6,"Peliciera rhizophorae","26","1.5 m-2m"
"Romero_et_al_2025","SL13","5",12.6,"Peliciera rhizophorae","21","1.8-2"
"Romero_et_al_2025","SL13","5",12.6,"Rhizophora mangle","15","27-80"
"Romero_et_al_2025","SL13","6",12.6,"Rhizophora mangle","16","34-72"
"Romero_et_al_2025","SL13","6",12.6,"Laguncularia racemosa","1","100"
"Romero_et_al_2025","SL13","6",12.6,"Peliciera rhizophorae","18","1.5-1.8"
"Romero_et_al_2025","SL14","0",12.6,NA,"0","0"
"Romero_et_al_2025","SL2","1",12.6,"Rhizophora mangle","25","70"
"Romero_et_al_2025","SL2","3",12.6,"Rhizophora mangle","6","80"
"Romero_et_al_2025","SL3","2",12.6,"Rhizophora racemosa","1","3"
"Romero_et_al_2025","SL3","5",12.6,"Laguncularia racemosa","20","6"
"Romero_et_al_2025","SL3","5",12.6,"Avicennia germinans","15","6"
"Romero_et_al_2025","SL4","4",12.6,"Rhizophora mangle","2","0.90-1.20"
"Romero_et_al_2025","SL4","6",12.6,"Rhizophora mangle","1","0.30-0.60"
"Romero_et_al_2025","SL5","2",12.6,"Peliciera rhizophorae","20","50-200"
"Romero_et_al_2025","SL5","3",12.6,"Peliciera rhizophorae","12","60-100"
"Romero_et_al_2025","SL5","3",12.6,"Rhizophora mangle","1","50-60"
"Romero_et_al_2025","SL5","4",12.6,"Peliciera rhizophorae","4","45-100"
"Romero_et_al_2025","SL5","5",12.6,"Rhizophora mangle","18","50-170"
"Romero_et_al_2025","SL5","6",12.6,"Peliciera rhizophorae","12","40-200"
"Romero_et_al_2025","SL5","6",12.6,"Rhizophora mangle","1","50-60"
"Romero_et_al_2025","SL6","1",12.6,NA,"0","0"
"Romero_et_al_2025","SL6","2",12.6,NA,"0","0"
"Romero_et_al_2025","SL6","3",12.6,NA,"0","0"
"Romero_et_al_2025","SL6","4",12.6,NA,"0","0"
"Romero_et_al_2025","SL6","5",12.6,NA,"0","0"
"Romero_et_al_2025","SL6","6",12.6,NA,"0","0"
"Romero_et_al_2025","SL7","1",12.6,NA,"0","0"
"Romero_et_al_2025","SL7","2",12.6,"Rhizophora racemosa","1","34"
"Romero_et_al_2025","SL7","3",12.6,"Rhizophora racemosa","11","55"
"Romero_et_al_2025","SL7","4",12.6,"Rhizophora racemosa","20","50"
"Romero_et_al_2025","SL7","5",12.6,"Rhizophora racemosa","40","70"
"Romero_et_al_2025","SL7","6",12.6,"Rhizophora racemosa","2","100"
"Romero_et_al_2025","SL8","3",12.6,"Peliciera rhizophorae","32","0.70"
"Romero_et_al_2025","SL8","4",12.6,"Laguncularia racemosa","49","0.55"
"Romero_et_al_2025","SL9","1",12.6,"Rhizophora racemosa","7","55-60"
"Romero_et_al_2025","SL9","2",12.6,"Rhizophora racemosa","10","30-70"
"Romero_et_al_2025","SL9","3",12.6,"Rhizophora racemosa","3","40-70"
"Romero_et_al_2025","SL9","4",12.6,"Rhizophora racemosa","4","50-70"
"Romero_et_al_2025","SL9","5",12.6,"Rhizophora racemosa","59","30-90"
"Romero_et_al_2025","SL9","6",12.6,"Rhizophora racemosa","29","30-80"
