"study_id","site_id","plot_id","subplot_area","percent_understory_cover","subplot_biomass","subplot_carbon","understory_carbon","carbon_conversion_factor"
"Romero_et_al_2025","R1","1",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R1","2",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R1","3",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R1","4",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R1","5",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R1","6",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R2","1",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R2","2",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R2","3",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R2","4",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R2","5",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R2","6",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R3","1",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R3","2",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R3","3",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R3","4",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R3","5",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R3","6",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R4","1",153.94,"0","0",NA,NA,0.47
"Romero_et_al_2025","R4","2",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R4","3",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R4","4",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R4","5",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R4","6",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R5","1",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","R5","2",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R5","3",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R5","4",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R5","5",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","R5","6",153.94,"0",NA,NA,NA,0.47
"Romero_et_al_2025","SF1","1",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","SF1","2",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","SF1","3",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","SF1","4",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","SF1","5",153.94,"0","0","0",NA,0.47
"Romero_et_al_2025","SF2","1",153.94,"30","6","2.82","0.18318825516435",0.47
"Romero_et_al_2025","SF2","2",153.94,"0","0","0","0",0.47
