"study_id","site_id","plot_id","plant_id","year","month","day","plot_radius","species","diameter_height","diameter","total_height","decay_class","alive_or_dead"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_1",2019,12,9,7,"Rhizophora racemosa","2.1","72","11.8",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_2",2019,12,9,7,"Rhizophora racemosa","2.1","17","7",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_3",2019,12,9,7,"Rhizophora racemosa","0.9","15","7.6",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_4",2019,12,9,7,"Rhizophora racemosa","1.7","14","9.6",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_5",2019,12,9,7,"Rhizophora racemosa","2.3","15","9",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_6",2019,12,9,7,"Rhizophora racemosa","3.3","15","9.6",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","RG12092019_1_1_7",2019,12,9,7,"Rhizophora racemosa","4.2","40.1","9.8",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_2","RG12092019_1_2_1",2019,12,9,7,"Rhizophora racemosa","3.1","44","12",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_2","RG12092019_1_2_2",2019,12,9,7,"Rhizophora racemosa","3.3","55","12.5",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_2","RG12092019_1_2_3",2019,12,9,7,"Rhizophora racemosa","2.5","58","14",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","RG12092019_1_3_1",2019,12,9,7,"Rhizophora racemosa","3.2","22","10.5",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","RG12092019_1_3_2",2019,12,9,7,"Rhizophora racemosa","1.8","13","9",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","RG12092019_1_3_3",2019,12,9,7,"Rhizophora racemosa","1.7","15","9",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","RG12092019_1_3_4",2019,12,9,7,"Rhizophora racemosa","2.5","33","11.5",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","RG12092019_1_3_5",2019,12,9,7,"Rhizophora racemosa","2","9","6",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_4","RG12092019_1_4_1",2019,12,9,7,"Rhizophora racemosa","2.9","36","9","3","dead"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_4","RG12092019_1_4_2",2019,12,9,7,"Rhizophora racemosa","3","40","17",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_4","RG12092019_1_4_3",2019,12,9,7,"Rhizophora racemosa","2.3","25","10",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","RG12092019_1_5_1",2019,12,9,7,"Rhizophora racemosa","2.8","26","9",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","RG12092019_1_5_2",2019,12,9,7,"Rhizophora racemosa","3.3","48","11",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","RG12092019_1_5_3",2019,12,9,7,"Rhizophora racemosa","3","30","11",NA,"alive"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","RG12092019_1_5_4",2019,12,9,7,"Rhizophora racemosa","2.1","16","7.5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_1","PB14092019_2_1_1",2019,9,14,7,"Rhizophora racemosa","2.5","28","8.5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_1","PB14092019_2_1_2",2019,9,14,7,"Rhizophora racemosa","4.5","13.8","8.5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_1","PB14092019_2_1_3",2019,9,14,7,"Rhizophora racemosa","5","18.8","10",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_2","PB14092019_2_2_1",2019,9,14,7,"Rhizophora racemosa","3.7","17.5","5.5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","PB14092019_2_3_1",2019,9,14,7,"Rhizophora racemosa","2.6","14","5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","PB14092019_2_3_2",2019,9,14,7,"Rhizophora racemosa","2.35","16.5","5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","PB14092019_2_3_3",2019,9,14,7,"Rhizophora racemosa","3.16","13","6",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_4","PB14092019_2_4_1",2019,9,14,7,"Rhizophora racemosa","2.45","13","5.5",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_4","PB14092019_2_4_2",2019,9,14,7,"Rhizophora racemosa","2","13","6",NA,"alive"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_4","PB14092019_2_4_3",2019,9,14,7,"Rhizophora racemosa","1.8","12","4.5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","SA21112019_3_1_1",2019,11,21,7,"Rhizophora racemosa","2.9","36","6.6",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","SA21112019_3_1_2",2019,11,21,7,"Rhizophora racemosa","2.7","23","4",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","SA21112019_3_1_3",2019,11,21,7,"Rhizophora racemosa","2.7","30","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","SA21112019_3_1_4",2019,11,21,7,"Rhizophora racemosa","2.6","36","6",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","SA21112019_3_1_5",2019,11,21,7,"Rhizophora racemosa","2.2","48","5.3","3","dead"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","SA21112019_3_2_1",2019,11,21,7,"Rhizophora racemosa","2.5","36","18",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","SA21112019_3_2_2",2019,11,21,7,"Rhizophora racemosa","2.2","33.6","12",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","SA21112019_3_2_3",2019,11,21,7,"Rhizophora racemosa","2","46","12",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","SA21112019_3_2_4",2019,11,21,7,"Rhizophora racemosa","2.6","62.3","20",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","SA21112019_3_2_5",2019,11,21,7,"Rhizophora racemosa","2.4","19.2","8",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","SA21112019_3_3_6",2019,11,21,7,"Rhizophora racemosa","2.5","45.5","20",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","SA21112019_3_3_7",2019,11,21,7,"Rhizophora racemosa","2.2","46.5","20",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","SA21112019_3_3_8",2019,11,21,7,"Rhizophora racemosa","2.5","14.3","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","SA21112019_3_3_9",2019,11,21,7,"Rhizophora racemosa","2.05","22.7","11.8",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","SA21112019_3_3_10",2019,11,21,7,"Rhizophora racemosa","2.3","21.8","9",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","SA21112019_3_4_1",2019,11,21,7,"Rhizophora racemosa","2.1","15.7","20",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","SA21112019_3_4_2",2019,11,21,7,"Rhizophora racemosa","1.9","18.2","20",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","SA21112019_3_4_3",2019,11,21,7,"Rhizophora racemosa","2","39.7","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","SA21112019_3_4_4",2019,11,21,7,"Rhizophora racemosa","2","38","11.8",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","SA21112019_3_4_5",2019,11,21,7,"Rhizophora racemosa","3.35","20.8","9",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_1",2019,11,21,7,"Rhizophora racemosa","3.3","28","8",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_2",2019,11,21,7,"Rhizophora racemosa","1.7","23","8",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_3",2019,11,21,7,"Rhizophora racemosa","2.3","15.3","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_4",2019,11,21,7,"Rhizophora racemosa","2.1","25","7",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_5",2019,11,21,7,"Rhizophora racemosa","2","44","9",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_6",2019,11,21,7,"Rhizophora racemosa","2.2","9","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_7",2019,11,21,7,"Rhizophora racemosa","2.14","8","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","SA21112019_3_5_8",2019,11,21,7,"Rhizophora racemosa","2.1","9","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_6","SA21112019_3_6_1",2019,11,21,7,"Rhizophora racemosa","1.7","11.2","5",NA,"alive"
"Romero_et_al_2025_Montijo","Saino","SA_3_6","SA21112019_3_6_2",2019,11,21,7,"Rhizophora racemosa","1.6","6.8","4","1","dead"
