iter	Passed	Remaining
0	0	134
1	0	118
2	0	116
3	0	112
4	0	109
5	0	107
6	0	107
7	0	106
8	0	105
9	1	104
10	1	103
11	1	102
12	1	101
13	1	101
14	1	101
15	1	101
16	1	101
17	2	110
18	3	159
19	3	157
20	3	155
21	3	153
22	3	154
23	4	157
24	4	155
25	4	153
26	4	151
27	4	149
28	4	148
29	4	146
30	4	144
31	4	142
32	5	141
33	5	139
34	5	138
35	5	137
36	5	136
37	5	135
38	5	133
39	5	132
40	5	131
41	5	130
42	6	129
43	6	139
44	6	140
45	7	139
46	7	149
47	7	149
48	8	148
49	8	147
50	8	146
51	8	146
52	8	145
53	8	144
54	8	143
55	8	143
56	8	142
57	9	141
58	9	140
59	9	139
60	9	139
61	9	139
62	9	138
63	9	137
64	9	137
65	10	136
66	10	135
67	10	134
68	10	134
69	10	134
70	10	134
71	10	135
72	11	135
73	11	134
74	11	133
75	11	132
76	11	132
77	11	131
78	11	131
79	11	130
80	11	129
81	12	129
82	12	128
83	12	128
84	12	127
85	12	127
86	12	126
87	12	126
88	12	125
89	12	125
90	13	124
91	13	124
92	13	126
93	13	126
94	13	125
95	13	125
96	14	124
97	14	124
98	14	124
99	14	123
100	14	123
101	14	122
102	14	122
103	14	121
104	14	121
105	15	120
106	15	120
107	15	121
108	15	121
109	15	120
110	15	120
111	15	120
112	15	119
113	16	119
114	16	118
115	16	118
116	16	118
117	16	117
118	16	117
119	16	116
120	16	116
121	16	116
122	17	115
123	17	115
124	17	115
125	17	114
126	17	115
127	17	114
128	17	114
129	17	114
130	19	120
131	19	120
132	19	120
133	20	125
134	20	125
135	20	125
136	20	125
137	21	124
138	21	124
139	21	124
140	21	124
141	21	123
142	21	123
143	21	122
144	21	122
145	21	121
146	21	121
147	22	121
148	22	121
149	22	122
150	22	121
151	22	121
152	22	121
153	23	120
154	23	120
155	23	120
156	23	119
157	23	119
158	23	119
159	23	118
160	23	118
161	24	118
162	24	117
163	24	117
164	24	117
165	24	116
166	24	116
167	24	115
168	24	115
169	24	115
170	24	114
171	25	114
172	25	114
173	25	113
174	25	113
175	25	113
176	25	112
177	25	112
178	26	115
179	26	115
180	26	115
181	26	114
182	27	114
183	27	114
184	27	114
185	27	114
186	27	113
187	27	113
188	27	113
189	27	112
190	27	112
191	28	112
192	28	111
193	28	111
194	28	111
195	28	111
196	28	110
197	28	110
198	28	110
199	28	109
200	29	109
201	29	109
202	29	109
203	29	108
204	29	108
205	29	108
206	29	107
207	29	107
208	29	107
209	29	106
210	30	106
211	30	106
212	30	106
213	30	105
214	30	105
215	30	105
216	30	104
217	30	104
218	30	104
219	30	104
220	31	103
221	31	103
222	31	103
223	31	102
224	31	102
225	31	102
226	31	102
227	31	101
228	31	101
229	32	102
230	32	102
231	32	101
232	32	101
233	32	101
234	32	101
235	33	102
236	33	102
237	33	102
238	33	101
239	33	101
240	34	101
241	34	102
242	34	102
243	34	102
244	34	101
245	35	101
246	35	101
247	36	103
248	36	103
249	36	102
250	36	102
251	36	102
252	36	102
253	36	102
254	37	103
255	37	103
256	37	102
257	37	102
258	37	102
259	37	102
260	38	101
261	38	101
262	38	101
263	38	101
264	38	101
265	39	103
266	39	102
267	39	102
268	39	102
269	39	102
270	40	101
271	40	101
272	40	101
273	40	100
274	40	100
275	40	100
276	40	100
277	40	99
278	40	99
279	41	99
280	41	99
281	41	99
282	41	98
283	41	98
284	41	98
285	41	98
286	42	99
287	42	99
288	42	99
289	42	98
290	43	98
291	43	98
292	43	98
293	43	98
294	43	97
295	43	97
296	43	97
297	43	97
298	43	96
299	44	96
300	44	96
301	44	96
302	44	95
303	44	95
304	44	95
305	44	95
306	45	95
307	45	95
308	45	95
309	45	95
310	45	94
311	45	94
312	45	94
313	45	94
314	46	94
315	46	93
316	46	93
317	46	93
318	46	93
319	46	93
320	46	93
321	47	93
322	47	93
323	47	93
324	47	93
325	47	92
326	48	92
327	48	92
328	48	92
329	48	92
330	48	92
331	48	91
332	48	91
333	48	91
334	49	91
335	49	91
336	49	91
337	49	90
338	49	90
339	49	90
340	50	90
341	50	90
342	50	90
343	50	90
344	50	90
345	50	89
346	51	91
347	51	90
348	51	90
349	52	90
350	52	90
351	52	90
352	52	89
353	52	89
354	52	89
355	52	89
356	52	88
357	52	88
358	53	88
359	53	88
360	53	88
361	53	87
362	53	87
363	53	87
364	53	87
365	53	87
366	53	86
367	53	86
368	54	86
369	54	86
370	54	85
371	54	85
372	54	85
373	54	85
374	55	85
375	55	85
376	55	85
377	55	85
378	55	85
379	55	85
380	56	84
381	56	84
382	56	84
383	56	84
384	56	84
385	56	83
386	56	83
387	56	83
388	56	83
389	56	83
390	57	82
391	58	83
392	58	83
393	58	83
394	58	83
395	58	83
396	58	83
397	58	82
398	58	82
399	59	82
400	59	82
401	59	82
402	59	81
403	59	81
404	59	81
405	59	81
406	59	81
407	59	80
408	60	80
409	60	80
410	60	80
411	60	80
412	60	79
413	60	79
414	60	79
415	60	79
416	60	79
417	61	78
418	61	78
419	61	78
420	61	78
421	61	78
422	61	78
423	61	77
424	61	77
425	61	77
426	61	77
427	62	77
428	62	76
429	62	76
430	62	76
431	62	76
432	62	76
433	62	75
434	62	75
435	62	75
436	63	75
437	63	75
438	63	75
439	64	75
440	64	75
441	64	75
442	64	75
443	64	74
444	64	74
445	64	74
446	64	74
447	64	74
448	65	73
449	65	73
450	66	74
451	66	74
452	66	74
453	66	74
454	66	73
455	66	73
456	66	73
457	67	73
458	67	73
459	67	73
460	67	72
461	67	72
462	67	72
463	67	72
464	68	72
465	68	72
466	68	71
467	68	71
468	68	71
469	68	71
470	68	71
471	68	70
472	68	70
473	68	70
474	69	70
475	69	70
476	69	69
477	69	69
478	69	69
479	69	69
480	69	69
481	69	69
482	69	68
483	70	68
484	70	68
485	70	68
486	70	68
487	70	68
488	70	67
489	70	67
490	71	67
491	71	67
492	71	67
493	71	67
494	72	67
495	72	67
496	72	67
497	72	67
498	72	67
499	73	67
500	73	66
501	73	66
502	73	66
503	73	66
504	73	66
505	73	66
506	74	66
507	74	66
508	74	66
509	74	65
510	75	65
511	76	66
512	76	66
513	76	66
514	76	66
515	76	66
516	77	65
517	77	65
518	77	65
519	77	65
520	77	65
521	77	64
522	77	64
523	77	64
524	77	64
525	77	64
526	77	63
527	78	63
528	78	63
529	78	63
530	78	63
531	78	63
532	78	62
533	78	62
534	78	62
535	78	62
536	79	62
537	79	62
538	79	61
539	79	61
540	79	61
541	79	61
542	79	61
543	79	60
544	79	60
545	80	60
546	80	60
547	80	60
548	80	60
549	80	59
550	80	59
551	80	59
552	80	59
553	80	59
554	81	59
555	81	58
556	81	58
557	81	58
558	81	58
559	81	58
560	81	58
561	82	58
562	83	58
563	84	58
564	84	58
565	84	58
566	84	58
567	84	58
568	84	58
569	84	57
570	84	57
571	84	57
572	85	57
573	85	57
574	85	56
575	85	56
576	85	56
577	85	56
578	85	56
579	85	56
580	85	55
581	85	55
582	86	55
583	86	55
584	86	55
585	86	54
586	86	54
587	86	54
588	86	54
589	86	54
590	86	54
591	86	53
592	87	53
593	87	53
594	87	53
595	87	53
596	87	53
597	87	52
598	87	52
599	87	52
600	88	52
601	88	52
602	89	52
603	89	52
604	89	52
605	89	52
606	89	52
607	90	51
608	90	52
609	91	52
610	91	51
611	91	51
612	91	51
613	91	51
614	91	51
615	91	51
616	92	50
617	92	50
618	92	50
619	92	50
620	92	50
621	92	50
622	92	49
623	92	49
624	92	49
625	93	49
626	93	49
627	93	49
628	93	48
629	93	48
630	93	48
631	93	48
632	93	48
633	93	48
634	94	47
635	94	47
636	94	47
637	94	47
638	94	47
639	94	47
640	94	47
641	94	46
642	95	46
643	95	46
644	95	46
645	95	46
646	95	46
647	95	45
648	95	45
649	95	45
650	96	45
651	96	45
652	96	45
653	96	44
654	96	44
655	96	44
656	96	44
657	96	44
658	97	44
659	97	44
660	97	43
661	97	43
662	97	43
663	97	43
664	97	43
665	97	43
666	98	42
667	98	42
668	98	42
669	98	42
670	98	42
671	99	42
672	99	42
673	99	42
674	99	41
675	99	41
676	99	41
677	99	41
678	100	41
679	100	41
680	100	41
681	101	41
682	101	40
683	101	40
684	101	40
685	101	40
686	101	40
687	102	40
688	102	40
689	102	39
690	103	39
691	103	39
692	103	39
693	103	39
694	103	39
695	103	39
696	104	39
697	104	38
698	104	38
699	104	38
700	104	38
701	105	38
702	105	38
703	106	38
704	107	38
705	107	38
706	107	38
707	107	38
708	107	37
709	107	37
710	107	37
711	108	37
712	108	37
713	108	37
714	108	37
715	108	36
716	108	36
717	108	36
718	109	36
719	109	36
720	109	36
721	109	35
722	109	35
723	109	35
724	109	35
725	110	35
726	110	35
727	110	35
728	111	35
729	111	34
730	111	34
731	111	34
732	111	34
733	112	34
734	112	34
735	112	34
736	112	33
737	112	33
738	112	33
739	112	33
740	113	33
741	113	33
742	113	32
743	113	32
744	113	32
745	113	32
746	113	32
747	114	32
748	114	32
749	114	31
750	114	31
751	114	31
752	114	31
753	114	31
754	115	31
755	115	30
756	115	30
757	115	30
758	115	30
759	115	30
760	116	30
761	116	30
762	116	29
763	116	29
764	116	29
765	117	29
766	117	29
767	117	29
768	118	29
769	118	28
770	118	28
771	118	28
772	118	28
773	118	28
774	118	28
775	118	27
776	120	28
777	120	27
778	120	27
779	120	27
780	120	27
781	121	27
782	121	27
783	121	27
784	121	26
785	121	26
786	121	26
787	121	26
788	121	26
789	121	26
790	121	25
791	122	25
792	122	25
793	122	25
794	122	25
795	122	25
796	122	24
797	123	24
798	123	24
799	123	24
800	123	24
801	123	24
802	123	24
803	124	23
804	124	23
805	124	23
806	124	23
807	124	23
808	124	23
809	124	22
810	125	22
811	125	22
812	125	22
813	125	22
814	125	22
815	125	22
816	125	21
817	125	21
818	126	21
819	126	21
820	126	21
821	126	21
822	126	20
823	126	20
824	126	20
825	126	20
826	127	20
827	127	20
828	127	19
829	127	19
830	127	19
831	127	19
832	127	19
833	127	19
834	128	19
835	129	19
836	129	18
837	129	18
838	130	18
839	130	18
840	130	18
841	130	18
842	130	17
843	130	17
844	131	17
845	131	17
846	131	17
847	131	17
848	131	17
849	132	16
850	132	16
851	133	16
852	134	16
853	135	16
854	135	16
855	135	16
856	136	16
857	136	16
858	136	15
859	136	15
860	136	15
861	136	15
862	137	15
863	137	15
864	137	14
865	137	14
866	137	14
867	137	14
868	137	14
869	137	14
870	137	13
871	138	13
872	138	13
873	138	13
874	138	13
875	138	13
876	138	12
877	138	12
878	138	12
879	138	12
880	138	12
881	139	12
882	139	11
883	139	11
884	139	11
885	139	11
886	139	11
887	139	11
888	139	11
889	141	10
890	141	10
891	141	10
892	142	10
893	142	10
894	142	10
895	142	10
896	142	9
897	142	9
898	143	9
899	143	9
900	143	9
901	143	9
902	143	8
903	143	8
904	143	8
905	144	8
906	144	8
907	144	8
908	144	7
909	144	7
910	144	7
911	145	7
912	145	7
913	145	7
914	145	6
915	145	6
916	145	6
917	145	6
918	145	6
919	145	6
920	146	6
921	146	5
922	146	5
923	146	5
924	146	5
925	146	5
926	146	5
927	146	4
928	147	4
929	147	4
930	147	4
931	147	4
932	147	4
933	148	3
934	148	3
935	148	3
936	148	3
937	148	3
938	148	3
939	148	3
940	148	2
941	148	2
942	149	2
943	149	2
944	149	2
945	149	2
946	149	1
947	149	1
948	150	1
949	150	1
950	150	1
951	150	1
952	150	0
953	150	0
954	150	0
955	151	0
956	151	0
957	151	0
958	151	0
